Model.catch	axis1	axis2
Des Moines	-1.52707	-0.71272
Fauntleroy	-0.87241	-0.59714
Fortson	-0.12396	0.17076
Longfellow	-1.37239	-0.54798
Pipers	-1.31903	-0.91735
Thornton	-1.26074	-0.86567
9	0.96292	-0.26633
10	0.60148	-0.05885
14	0.82981	-0.21954
17	0.44558	-0.19802
20	0.63557	0.08954
22	0.57492	-0.02103
24	0.09174	0.12493
25	0.20186	-0.16445
31	-0.06492	0.14089
33	-0.46061	0.09231
37	0.13118	-0.03354
42	-0.58467	1.02826
45	-0.08507	0.21393
48	-0.44604	0.22313
49	0.4409	0.09662
51	-0.00299	0.1244
52	-0.02764	0.06207
54	0.7011	0.21157
55	0.38952	-0.14983
56	0.49186	-0.29643
57	0.298	-0.07447
58	-0.88896	0.33803
59	-0.51093	0.72131
61	-0.02708	0.44548
63	-0.54888	0.30554
64	0.01418	0.24136
65	-0.34857	0.14821
67	-0.56289	0.23265
68	0.24603	0.0149
69	0.49367	-0.39116
70	1.03969	-0.44932
71	-0.0077	-0.08342
72	-0.16504	0.26622
73	0.28691	-0.12146
74	0.36787	-0.29926
75	0.98706	-0.34983
76	-0.56894	0.00609
77	-0.6749	0.15031
80	0.66314	-0.05269
81	-1.08877	0.46587
83	-0.11309	0.13094
84	0.17956	-0.09821
85	0.54111	-0.03556
86	1.54296	-0.56418
87	-0.6834	0.45824
88	0.17418	-0.08356
89	-0.18025	0.16993
90	1.40087	-0.51579
92	0.76916	-0.43431
93	0.1404	-0.00079
94	-0.54234	0.38415
95	-0.67076	0.41896
99	-0.36736	0.12681
100	-0.19494	-0.20241
101	0.02897	0.00049
102	-0.96751	-0.1138
103	0.12708	0.10735
104	-0.5402	0.76894
105	-0.02509	0.19696
106	-0.41355	0.13462
107	-0.08173	0.37621
108	0.87113	-0.33002
109	-0.98011	0.1593
110	-0.30312	0.27931
111	0.59417	0.61285
113	-0.11442	0.09874
114	-0.30806	-0.29401
118	-0.50158	0.58153
119	0.16797	0.5511
120	-0.25698	0.15955
122	0.43383	-0.0502
123	0.25104	-0.08131
125	0.16763	-0.04382
126	-0.21102	0.3589
127	-0.16027	0.54882
128	0.11085	0.77225
129	-0.43016	0.35798
130	-0.0196	-0.03081
131	-0.57551	0.43795
132	0.35069	-0.14372
134	0.28176	-0.02246
135	0.93313	-0.27448
136	-0.05418	0.11546
