Catch.Area.ft2	Perimeter	Model.catch	Model.catch.id	Model.Domain	CentroidX	CentroidY	CatchID
234106224	74733.836	2	1	Yes	1421408.125	470700.3438	2
26705742	26104.377	82	9	Yes	1427737.188	466976.6406	82
40877736	36208.543	122	159	Yes	1415243.563	462361.625	122
70131400	43100.82	144	204	Yes	1425491.813	459163.5938	144
186069408	68181.156	1931	2823	Yes	1279813.25	285292.0625	1931
46553196	31381.359	1979	2887	Yes	1270502.625	286380.1563	1979
50245392	32690.596	2031	2946	Yes	1265951.375	280437.875	2031
203241616	73089.266	2064	2987	Yes	1274444.625	272695.2656	2064
31115332	34187.285	2151	3119	Yes	1262187.688	270254.1563	2151
142860640	55595.309	2180	3138	Yes	1285799.188	267073.6797	2180
223983184	98139.359	2227	3214	Yes	1273109.75	256645.0859	2227
107108304	49384.824	2252	3243	Yes	1275593.563	261877.8203	2252
69938632	38251.375	2259	3253	Yes	1263438.563	261572.9609	2259
43859776	36528.613	2336	3362	Yes	1256890.625	256976.4609	2336
34952784	26139.561	2351	3388	Yes	1283086.5	257725.4141	2351
30240254	24264.285	2373	3430	Yes	1287462.375	255632.6328	2373
222997872	69092.008	2395	3449	Yes	1259281.25	245492.9766	2395
100855528	54887.84	2422	3491	Yes	1284527.75	243745.1406	2422
145629904	71551.047	2872	4092	Yes	1262000.688	204909.3516	2872
84860512	54989.203	2918	4155	Yes	1254206.125	204804.4375	2918
378028000	104253.633	2922	4160	Yes	1275688.5	198432.25	2922
76850312	40602.305	3091	4407	Yes	1258546.188	189591.2578	3091
46348240	34059.184	3102	4424	Yes	1266042.813	189117.1328	3102
260462128	76984.008	3152	4499	Yes	1270415.688	175385.4453	3152
352200608	115453.273	3213	4584	Yes	1286618.813	159980.9375	3213
274926400	92611.75	3248	4628	Yes	1272821.688	154879.1094	3248
