Model.catch	axis1	axis2
Des Moines	0.90826	0.54887
Fauntleroy	0.5751	0.44546
Fortson	-0.12119	0.14044
Longfellow	0.67729	0.48462
Pipers	0.63421	0.84462
Thornton	0.65446	0.79793
9	-0.69615	-0.2736
10	-0.61084	-0.2542
14	-0.53966	-0.31633
17	-0.44701	-0.41732
20	-0.47125	-0.33231
22	-0.23635	-0.5525
24	-0.36611	0.5494
25	-0.42979	-0.16904
31	-0.2643	0.40376
33	0.49669	0.22307
37	-0.28071	0.31803
42	0.4257	-0.23985
45	-0.51958	0.29377
48	-0.06485	0.56194
49	-0.0706	-0.62075
51	-0.52157	0.36397
52	-0.51147	0.17857
54	-0.84871	0.01408
55	-0.61262	0.53287
56	-1.03366	0.1641
57	-0.49861	0.68349
58	0.39436	-0.34414
59	-0.23507	0.29389
61	-0.21	-0.62612
63	-0.00172	0.51083
64	-0.22193	0.34822
65	0.041	-0.32565
67	-0.02859	0.07536
68	-0.28192	-0.04062
69	0.19403	-0.93974
70	-0.9675	0.12072
71	-0.57372	0.45017
72	0.04025	0.23238
73	-0.46398	0.53127
74	0.22672	-0.96859
75	0.22033	-0.97687
76	0.00557	0.14319
77	0.15646	0.06639
80	0.23042	-0.98694
81	-0.51138	-0.32991
83	-0.25577	0.14255
84	-0.38044	-0.05995
85	0.22637	-0.9882
86	0.23158	-0.98677
87	-0.47964	0.24736
88	-0.41783	0.16708
89	-0.49084	0.25342
90	0.22563	-0.9879
92	0.23092	-0.98718
93	-0.35083	0.25365
94	0.1483	0.58197
95	-0.0817	-0.70214
99	-0.27197	0.29289
100	-0.37322	0.4167
101	-0.47551	0.41343
102	-0.21716	0.70158
103	-0.74448	0.50222
104	-1.14555	0.58479
105	-0.24717	-0.16683
106	-0.54414	0.1086
107	-0.2899	0.26627
108	-1.06392	0.36181
109	0.38987	0.07654
110	0.67231	0.46003
111	-1.62613	0.55038
113	-0.10669	0.29483
114	-0.38164	0.46818
118	-0.45168	-0.2773
119	-1.0176	0.85562
