"model"	"k"	"n"	"Intercept"	"RE.sd"	"Impervious"	"FC00.Road"	"dry"	"rain"	"ImperviousXdry"	"ImperviousXrain"	"FC00.RoadXdry"	"FC00.RoadXrain"	"deviance"	"AICc"	"dAICc"	"wAICc"
"22"	"FC00.Road + dry + rain + FC00.Road:dry + FC00.Road:rain"	7	34	-2.98299988268125	1.01464997294491	NA	60.0472059449386	-1.12500699306526	1.04700755711458	NA	NA	15.5434825431796	-18.8369529978502	62.7220508992491	81.0297432069414	0	0.417538798756354
"20"	"FC00.Road + dry + rain + FC00.Road:dry"	6	34	-1.76061494297422	1.19677288914172	NA	38.5400836090875	-0.98920031241608	-0.146497984023634	NA	NA	13.2039130408205	NA	66.8648164223442	81.9759275334553	0.9461843265139	0.260157003366802
"13"	"FC00.Road + dry + FC00.Road:dry"	5	34	-2.14908236244780	1.1334523315404	NA	38.1979954375641	-0.878915274826941	NA	NA	NA	11.7285550536843	NA	71.9670208417315	84.1098779845887	3.08013477764726	0.0895063956319353
"6"	"Impervious + dry"	4	34	-3.82982214735254	0.583768669836109	11.3949883912056	NA	-0.0727784093899483	NA	NA	NA	NA	NA	76.3548736051761	85.7341839500037	4.70444074306231	0.0397320075984183
"2"	"Impervious"	3	34	-4.03775813121475	0.524862129165238	11.3778433245095	NA	NA	NA	NA	NA	NA	NA	79.0992838283994	85.8992838283994	4.86954062145797	0.036583860031394
"18"	"Impervious + dry + rain + Impervious:rain"	6	34	-6.0390765002206	0.477122522586513	17.3564649790090	NA	-0.0853301571957018	1.50816975075228	NA	-3.83239194934135	NA	NA	70.8386771389044	85.9497882500155	4.9200450430741	0.0356716034103188
"15"	"Impervious + dry + rain"	5	34	-3.69764906323215	0.641946797142939	11.7875264274877	NA	-0.0810255355855672	-0.0978632625654154	NA	NA	NA	NA	73.9259709911511	86.0688281340082	5.0390849270668	0.0336103820085780
"7"	"Impervious + rain"	4	34	-3.94277478989032	0.565960090317893	11.6991927733959	NA	NA	-0.0822899457300408	NA	NA	NA	NA	77.2757081973873	86.6550185422149	5.62527533527347	0.0250717020931474
"12"	"Impervious + rain + Impervious:rain"	5	34	-6.04787381016973	0.434189390182863	16.6752153693781	NA	NA	1.32120256211956	NA	-3.34895933508995	NA	NA	74.634902387787	86.777759530644	5.74801632370264	0.0235793023763418
"11"	"Impervious + dry + Impervious:dry"	5	34	-3.87290592529443	0.584208380433803	11.4951369481392	NA	-0.0565240072421356	NA	-0.0393544888138523	NA	NA	NA	76.3537759200292	88.4966330628863	7.46688985594491	0.00998348814868153
"19"	"Impervious + dry + rain + Impervious:dry + Impervious:rain"	7	34	-5.5128687149439	0.44057403176645	16.1296300699596	NA	-0.365358028443024	1.65538644416455	0.67788978963457	-4.17797747832851	NA	NA	70.5440847971738	88.8517771048661	7.82203389792468	0.00835918155482627
"17"	"Impervious + dry + rain + Impervious:dry"	6	34	-3.85889862651108	0.643619746980411	12.1653340788355	NA	-0.0197442557166922	-0.0983288847345728	-0.148466331626844	NA	NA	NA	73.910622437337	89.0217335484482	7.99199034150674	0.0076781781607977
"16"	"FC00.Road + dry + rain"	5	34	-4.00625434598117	1.08659522129674	NA	72.6839512457735	-0.0987378372000874	-0.107798678530368	NA	NA	NA	NA	78.4779463200192	90.6208034628763	9.59106025593492	0.00345163262297416
"8"	"FC00.Road + dry"	4	34	-4.11203082938912	1.05360968806614	NA	69.5381274689815	-0.090500350919586	NA	NA	NA	NA	NA	81.420456621294	90.7997669661216	9.77002375918013	0.00315618996078782
"21"	"FC00.Road + dry + rain + FC00.Road:rain"	6	34	-4.79473183044231	0.970766193188918	NA	86.179481615733	-0.0895480763502599	0.485169155500707	NA	NA	NA	-9.27832997380574	77.1456580865897	92.2567691977008	11.2270259907594	0.00152327782332906
"3"	"FC00.Road"	3	34	-4.26767959333524	1.10469706524466	NA	67.5891514907034	NA	NA	NA	NA	NA	NA	85.6577544520443	92.4577544520443	11.4280112451029	0.00137763994255263
"9"	"FC00.Road + rain"	4	34	-4.188829653902	1.1348620004883	NA	70.0228751666892	NA	-0.0898331962698747	NA	NA	NA	NA	83.4737349835436	92.8530453283712	11.8233021214297	0.00113057506506393
"14"	"FC00.Road + rain + FC00.Road:rain"	5	34	-5.21413315318041	0.978600158481496	NA	88.3233117166641	NA	0.694668143360165	NA	NA	NA	-12.3357682797571	81.1003958997191	93.2432530425763	12.2135098356348	0.00093017973627951
"10"	"dry + rain"	4	34	0.297915244168398	2.02517285570980	NA	NA	-0.0922507330566557	-0.105311238163373	NA	NA	NA	NA	85.8564443444423	95.235754689270	14.2060114823285	0.000343479355336605
"4"	"dry"	3	34	0.0134574045199209	1.94311859153990	NA	NA	-0.0839740157771694	NA	NA	NA	NA	NA	88.6610336659809	95.4610336659809	14.4312904590394	0.000306889430227685
"1"	"1"	2	34	-0.233633713634109	1.92642858440518	NA	NA	NA	NA	NA	NA	NA	NA	92.3000522125666	96.6871489867602	15.6574057798187	0.000166239556613221
"5"	"rain"	3	34	-0.0156812300746989	1.99239590903828	NA	NA	NA	-0.0882324437625721	NA	NA	NA	NA	90.2024479851216	97.0024479851215	15.9727047781801	0.000141993369240008
