Model.catch	axis1	axis2
Des Moines	-0.04132	-0.9382
Fauntleroy	-0.0261	-0.85902
Fortson	-0.1251	-0.57962
Longfellow	-0.07797	-0.98107
Pipers	-0.0905	-0.97633
Thornton	-0.13413	-1.00513
9	0.01918	-0.11285
10	-0.02645	1.75104
14	-0.02618	1.75105
17	-0.02656	1.75104
20	-0.0264	1.75105
22	-0.02671	1.75104
24	-0.05649	-0.54723
25	-0.33387	-0.2973
31	0.14115	-0.58024
33	0.01828	-0.47251
37	0.02348	-0.54941
42	0.02314	-0.30161
45	-0.11314	-0.54171
48	0.14594	-0.60811
49	0.02024	-0.36683
51	-0.14981	-0.50238
52	0.17705	-0.46882
54	-0.02618	1.75105
55	0.01869	-0.48648
56	0.02367	-0.31335
57	0.15983	-0.51595
58	0.02173	-0.28734
59	0.02093	-0.52236
61	-0.02633	1.75104
63	0.1355	-0.57224
64	0.02366	-0.55118
65	0.02058	-0.37561
67	0.0189	-0.44863
68	0.02095	-0.52285
69	0.01911	-0.43879
70	0.02305	-0.3021
71	-0.0846	-0.5574
72	0.02602	-0.57336
73	0.15989	-0.52594
74	0.01869	-0.46009
75	0.00992	-0.02131
76	0.01848	-0.44366
77	0.15506	-0.56687
80	0.02247	-0.25362
81	-0.02639	1.75104
83	-0.18635	-0.4332
84	0.02124	-0.52645
85	0.01919	-0.39321
86	0.02291	-0.19225
87	-0.09579	-0.61925
88	-0.10047	-0.6061
89	-0.16486	-0.59487
90	-0.02616	1.75105
92	0.01979	-0.42619
93	0.08939	-0.5567
94	0.168	-0.56404
95	-0.02652	1.75105
99	-0.07049	-0.63427
100	0.20131	-0.54699
101	0.17746	-0.56156
102	0.21436	-0.69212
103	1.66384	0.10154
104	-0.0263	1.75105
105	-0.17966	-0.5561
106	-0.02658	1.75104
107	-0.19593	-0.5858
108	-0.02609	1.75105
109	0.1684	-0.58886
110	0.08975	-0.59212
111	-0.02659	1.75105
113	0.10343	-0.60685
114	-0.02675	1.75104
118	-1.63695	0.12231
119	0.02012	-0.50882
120	0.18189	-0.59327
122	0.10959	-0.50163
