"site","restscore.spawners","restscore.people"
"Fauntleroy Creek","0.991013987344287","0.991013987344287"
"Thornton Creek","1.01495386783008","1.01495386783008"
"Pipers Creek","1.2812110307812","1.2812110307812"
"Longfellow Creek","1.42854815935056","1.42854815935056"
"Des Moines Creek","1.58659746026345","1.58659746026345"
"Barker Creek","1.73971275037104","1.73971275037104"
"Clear Creek WF","1.91913838196962","1.91913838196962"
"Curley Creek Trib","2.31182266881551","2.31182266881551"
"Big Scandia Creek","2.34076727897865","2.34076727897865"
"Johnson Creek","2.41589473530625","2.41589473530625"
"Gorst Creek","2.62566704978357","2.62566704978357"
"Chico Creek","2.67517344021283","2.67517344021283"
