"ID","Z","coho.pres.m","coho.pres.stan","score.coho.pres","numspp.stan","numspp","score.numsp"
1046,0.0002108548123892,NA,NA,0.000298193735372441,1,1,2.00000001111494
1402,0.00482969423865104,NA,NA,0.0068302190944155,NA,NA,0.0068302190944155
872,-0.00679376084025875,NA,NA,0.00960782871981316,2,2,1.0000230773269
1663,-0.0110209466991538,NA,NA,0.0155859722921343,NA,NA,0.0155859722921343
720,0.0115533824760039,NA,NA,0.0163389501888484,NA,NA,0.0163389501888484
2076,0.0141354630644893,NA,NA,0.0199905635762247,1,1,2.00004995220521
2914,-0.0222641955684232,NA,NA,0.0314863273281911,NA,NA,0.0314863273281911
1298,-0.0231731779497981,NA,NA,0.0327718225398896,1,1,2.00013424453867
974,-0.024500179327562,NA,NA,0.0346484858856111,NA,NA,0.0346484858856111
1281,0.026498422601755,NA,NA,0.0374744286248957,0,0,3.0001170254509
2128,0.0274721576117774,NA,NA,0.0388514978822269,1,1,2.00018867096178
847,0.028341839281347,NA,NA,0.0400814134942795,NA,NA,0.0400814134942795
972,-0.0303065334955433,NA,NA,0.0428599106979118,NA,NA,0.0428599106979118
2451,-0.0308297792471972,NA,NA,0.0435998919363549,0,0,3.00015840836587
1316,0.0360529899574802,NA,NA,0.0509866273619695,0,0,3.00021662852616
1324,-0.0456407123266116,NA,NA,0.064545714368663,0,0,3.00034715901705
90,-0.0459843401369341,NA,NA,0.0650316774784297,NA,NA,0.0650316774784297
838,0.0462137209840761,NA,NA,0.0653560709834065,0,0,3.00035593022015
1158,-0.0466158281974947,NA,NA,0.0659247364581512,1,1,2.00054318509712
502,-0.0495753629094706,NA,NA,0.0701101505861414,0,0,3.00040959147374
1146,0.0549586304983754,NA,NA,0.0777232406202541,0,0,3.00050336628144
420,0.0590705568755929,NA,NA,0.0835383826703948,1,1,2.00087214251426
79,0.0649734953417908,NA,NA,0.0918863983071457,NA,NA,0.0918863983071457
1252,-0.0681138797568791,NA,NA,0.0963275725380286,0,0,3.00077315047565
2152,0.0700957801050346,NA,NA,0.0991304028896621,1,1,2.00122797761488
1280,-0.070577449772651,NA,NA,0.099811586666189,0,0,3.00083008123026
1263,0.0779006523492186,NA,NA,0.110168159069976,0,0,3.00101124816893
1260,0.0858789811757361,NA,NA,0.12145121990151,0,0,3.00122894818236
1049,-0.0969628218732906,NA,NA,0.137126137739174,1,1,2.00234906767667
1531,0.0992469540154514,NA,NA,0.14035638839287,0,0,3.00164121071812
1344,0.101939180639684,NA,NA,0.144163771797842,NA,NA,0.144163771797842
675,-0.103862722562706,NA,NA,0.146884070873173,NA,NA,0.146884070873173
1356,0.107706112732418,NA,NA,0.152319445376671,0,0,3.0019328118264
2085,-0.112169533640222,NA,NA,0.158631675759067,1,1,2.00314303140766
1330,0.113869649178,NA,NA,0.161036002210194,2,2,1.0064622680478
1388,0.11530704300845,NA,NA,0.163068784059688,NA,NA,0.163068784059688
925,0.118014331360298,NA,NA,0.166897467964126,2,2,1.00693961209519
939,0.125484264750547,NA,NA,0.17746154907464,1,1,2.00393270862571
462,-0.144641623385909,NA,NA,0.204554145476014,0,0,3.00348484251473
1616,-0.157722366469116,NA,NA,0.223053109750203,1,1,2.00620944691341
746,0.167154667447163,NA,NA,0.236392397717742,0,0,3.00465317180692
2292,0.167740454671596,NA,NA,0.2372208259552,0,0,3.00468581720842
461,-0.168052985542123,NA,NA,0.23766281135096,0,0,3.00470328084981
927,-0.187925257725731,NA,NA,0.265766448188188,1,1,2.00880957347661
1204,-0.192147846713133,NA,NA,0.271738090802499,1,1,2.00920899734112
876,0.200745874925169,NA,NA,0.283897538909627,1,1,2.01004947856999
1682,0.204779639484512,NA,NA,0.28960214345687,NA,NA,0.28960214345687
380,0.20578469732396,NA,NA,0.291023509884387,0,0,3.00704960744792
2658,0.206735727774542,NA,NA,0.292368470045829,2,2,1.02114624865318
1322,-0.217588792792076,NA,NA,0.307717021786943,1,1,2.01180140241245
141,0.220038524006071,NA,NA,0.311181464893943,NA,NA,0.311181464893943
1332,-0.221608266448101,NA,NA,0.313401415944895,1,1,2.01224010092189
1606,-0.224102332337636,NA,NA,0.316928557751327,1,1,2.01251629940211
842,-0.231800886208477,NA,NA,0.327815957046131,0,0,3.00894194873331
1626,-0.239838881609439,NA,NA,0.339183399156464,0,0,3.00957184481974
1530,-0.240470243011511,NA,NA,0.340076279014033,0,0,3.00962222509305
352,0.25762941588648,NA,NA,0.364343014012919,0,0,3.01104183231154
978,-0.259374688490193,NA,NA,0.366811202199128,1,1,2.01674867770612
2204,0.262989317142345,NA,NA,0.371923059061943,NA,NA,0.371923059061943
879,-0.268290819088092,NA,NA,0.379420515014566,0,0,3.01197276939998
