"model"	"k"	"n"	"Intercept"	"RE.sd"	"Impervious"	"dense.urban"	"light.med.urb"	"grass.shrub.crops"	"conifer.deciduous"	"Apt.condo"	"Commercial"	"Industrial"	"Parks.open.space"	"Residential"	"FC00.Road"	"Nonlocal.Road"	"deviance"	"AICc"	"dAICc"	"wAICc"
"8"	"Commercial + FC00.Road"	4	34	-4.56641006317996	3.89405349660655e-08	NA	NA	NA	NA	NA	NA	19.7610619696864	NA	NA	NA	44.4060222992504	NA	66.879432416985	76.2587427618126	0	0.0932833930805409
"97"	"Impervious + dense.urban + FC00.Road"	5	34	-3.92151624187115	0	48.7543002627787	-29.9813238343574	NA	NA	NA	NA	NA	NA	NA	NA	-109.556958655317	NA	64.1618933393596	76.3047504822167	0.0460077204041198	0.091162008512236
"84"	"Impervious + Apt.condo + Nonlocal.Road"	5	34	-3.93552441902021	0	12.9354891686888	NA	NA	NA	NA	-40.1470055824528	NA	NA	NA	NA	NA	38.6072599593599	64.4874324995099	76.630289642367	0.371546880554476	0.0774682873307473
"102"	"Impervious + dense.urban + Commercial"	5	34	-4.49211994387717	0	14.0300624365816	-7.54041801832606	NA	NA	NA	NA	12.6051491140190	NA	NA	NA	NA	NA	64.694581703154	76.8374388460111	0.57869608419854	0.0698460863693398
"117"	"Impervious + light.med.urb + Commercial"	5	34	-4.48578048401072	5.28897893144017e-10	5.23161231771388	NA	3.61883964364437	NA	NA	NA	14.3070370077435	NA	NA	NA	NA	NA	64.7849799282844	76.9278370711415	0.66909430932894	0.0667593887283922
"69"	"conifer.deciduous + Commercial + FC00.Road"	5	34	-2.60654918226214	0	NA	NA	NA	NA	-2.38431383515266	NA	15.8903678655801	NA	NA	NA	30.8666957661926	NA	65.2661656151577	77.4090227580148	1.15027999620223	0.0524836713365767
"86"	"Impervious + Commercial + FC00.Road"	5	34	-4.66292890892955	0	2.69569227606394	NA	NA	NA	NA	NA	16.3713837217780	NA	NA	NA	35.260944670787	NA	65.4723972430179	77.615254385875	1.35651162406243	0.0473414524628935
"25"	"dense.urban + Commercial + FC00.Road"	5	34	-4.70014785111237	0	NA	1.62214869099362	NA	NA	NA	NA	17.5222726113607	NA	NA	NA	43.8345086037236	NA	65.692212713983	77.8350698568401	1.57632709502751	0.0424140022577058
"82"	"Impervious + Apt.condo"	4	34	-4.59432415351401	0	19.7044047898076	NA	NA	NA	NA	-53.2802760628375	NA	NA	NA	NA	NA	NA	69.3047097580434	78.684020102871	2.42527734105840	0.0277435512731021
"111"	"Impervious + dense.urban + Residential + FC00.Road"	6	34	-3.06275339735863	0	56.3764699608442	-40.2846962858534	NA	NA	NA	NA	NA	NA	NA	-7.82436794011174	-83.4385688860581	NA	63.632102722155	78.7432138332662	2.48447107145357	0.0269344614481812
"138"	"Impervious + grass.shrub.crops + Residential + FC00.Road"	6	34	-7.30548789374438	0	21.2292681351281	NA	NA	10.6492551215992	NA	NA	NA	NA	NA	19.1209220728011	-130.723648506806	NA	63.6907814229505	78.8018925340617	2.54314977224908	0.0261557018582765
"106"	"Impervious + dense.urban + Industrial + FC00.Road"	6	34	-3.9265739050935	0	43.3238569631027	-24.9955169285085	NA	NA	NA	NA	NA	-1.59602048849370	NA	NA	-94.515666428897	NA	63.7606064904838	78.871717601595	2.61297483978235	0.0252582965318142
"52"	"grass.shrub.crops + Commercial + FC00.Road"	5	34	-4.51736005000327	1.77517203156961e-07	NA	NA	NA	-0.522147665609946	NA	NA	20.026003974653	NA	NA	NA	43.7925672948164	NA	66.8675675334673	79.0104246763244	2.75168191451182	0.0235659091441432
"103"	"Impervious + dense.urban + Commercial + FC00.Road"	6	34	-4.08644651667781	0	38.2317221040847	-23.2664338300818	NA	NA	NA	NA	3.99094796532418	NA	NA	NA	-76.4393456461218	NA	64.0322716372418	79.1433827483529	2.88463998654029	0.0220502095200475
"104"	"Impervious + dense.urban + Commercial + Nonlocal.Road"	6	34	-4.73680624289363	0	16.8762085042414	-9.21866953621433	NA	NA	NA	NA	15.574957088009	NA	NA	NA	NA	-22.0999764599784	64.072805602176	79.1839167132872	2.92517395147459	0.0216078164393766
"100"	"Impervious + dense.urban + Apt.condo + FC00.Road"	6	34	-3.9606671988088	0	46.4041720013204	-27.4311587058820	NA	NA	NA	-5.53761760971218	NA	NA	NA	NA	-100.485969264760	NA	64.1016910742553	79.2128021853664	2.95405942355382	0.0212979832553215
"101"	"Impervious + dense.urban + Apt.condo + Nonlocal.Road"	6	34	-3.83467440582974	0	12.3725622020255	0.488205823333462	NA	NA	NA	-40.6867628192575	NA	NA	NA	NA	NA	39.2817250088419	64.4274877727415	79.5385988838526	3.27985612204004	0.0180964183258515
"116"	"Impervious + light.med.urb + Apt.condo + Nonlocal.Road"	6	34	-3.85343064691387	0	12.9253362801031	NA	-0.180016227778848	NA	NA	-40.4488257444253	NA	NA	NA	NA	NA	38.7328438059263	64.4414085055733	79.5525196166844	3.29377685487187	0.0179708979640968
"128"	"Impervious + grass.shrub.crops + Apt.condo + Nonlocal.Road"	6	34	-3.93596209821819	0	12.9434685208949	NA	NA	-0.307813226769974	NA	-40.2845586819806	NA	NA	NA	NA	NA	39.3593137867714	64.4735469727567	79.5846580838678	3.32591532205525	0.0176844272535934
"118"	"Impervious + light.med.urb + Commercial + Nonlocal.Road"	6	34	-4.61434701998572	0	5.78999917566403	NA	4.06280490029641	NA	NA	NA	16.2517890671502	NA	NA	NA	NA	-13.4015471352585	64.5251156125182	79.6362267236293	3.37748396181672	0.0172342747024102
"110"	"Impervious + dense.urban + Residential"	5	34	-1.19962617226416	5.75095905282359e-07	64.2647799167354	-55.9732261081767	NA	NA	NA	NA	NA	NA	NA	-24.8286121098213	NA	NA	67.5386630061915	79.6815201490486	3.42277738723601	0.0168483613623267
"77"	"conifer.deciduous + Residential + FC00.Road"	5	34	9.39114543773811	0	NA	NA	NA	NA	-17.4928528252907	NA	NA	NA	NA	15.8901442867916	-153.968415721242	NA	67.9743002910185	80.1171574338756	3.85841467206306	0.0135506533127878
