"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,0.682602850273842,6.90586700737546,36.592,0.682602850273842,"#00441B",1
491,-0.566456380079699,4.31303339848647,24.516,2.65398925278858,"#08306B",2
15,-1.13172862330627,3.87266392748355,22.465,3.23745742839601,"#08326E",3
319,1.51553903995767,3.4286443926059,20.397,3.79314324726877,"#00481D",4
462,0.298305149971956,3.02864033386458,18.534,3.88868520714701,"#004D1F",5
497,0.350712666365564,2.80276579291135,17.482,4.118062523868,"#005221",6
328,-0.204059786502473,2.59707395808892,16.524,4.31362236850276,"#083572",7
96,-0.462710954076325,2.3284721988375,15.273,4.60072218898864,"#083876",8
95,0.320380373686816,2.15928100276227,14.485,4.75738607672675,"#005723",9
398,0.450106353576437,2.06029985886546,14.024,4.86642751104433,"#005C25",10
63,-0.39352863192698,2.01241960921473,13.801,4.90924558590343,"#083A7A",11
26,-0.880073241278372,2.06910295409273,14.065,4.91617894478448,"#083D7E",12
374,-1.15614979512828,2.10259765788427,14.221,4.94045329828515,"#084082",13
399,1.05531166330551,1.96539819812276,13.582,5.05192188794596,"#006127",14
86,-0.817548076111354,1.79942764664286,12.809,5.17147056470328,"#084286",15
74,-0.254220224341038,1.73029114266288,12.487,5.18181565224578,"#08458A",16
1242,-0.198450055994333,1.71418791968618,12.412,5.19547054406762,"#08488E",17
102,-1.31998427839276,1.88015847116607,13.185,5.1961625057471,"#084A92",18
937,-1.80805291683802,2.01263431885442,13.802,5.21658715005292,"#084D96",19
329,0.551873917004234,1.63517477228049,12.044,5.2995057748209,"#006629",20
487,0.727421493316957,1.63410122408204,12.039,5.32171556012183,"#006B2B",21
152,0.835437666347065,1.61177142155434,11.935,5.35960858329804,"#026F2D",22
1195,1.61224227216118,1.75584158978592,12.606,5.39648839023691,"#067230",23
273,-1.21570954159359,1.6469838024634,12.099,5.39757373756281,"#08509A",24
1189,-2.09139069233941,1.90120001585563,13.283,5.42407657800035,"#09529D",25
389,0.715108430664848,1.52803466207548,11.545,5.42516919568068,"#0A7533",26
588,0.635170491711328,1.49883415107773,11.409,5.44421214342571,"#0D7835",27
167,0.160807457593312,1.39469997582838,10.924,5.5135125907201,"#117C38",28
386,0.267785925222093,1.37752320465323,10.844,5.53482560726572,"#157F3B",29
332,1.51588573947382,1.55186743208101,11.656,5.56446053336649,"#19823E",30
106,0.443545189440274,1.3476785647364,10.705,5.57585788009002,"#1D8641",31
139,-0.292572572298414,1.33114592248032,10.628,5.58239320403317,"#0B559F",32
143,-0.0613671203444117,1.30409250787946,10.502,5.60211062606434,"#0D57A1",33
385,0.208989683528173,1.25449458111121,10.271,5.65523536098729,"#218943",34
25,-0.549305561204274,1.27510670652139,10.367,5.65749044764939,"#0E59A2",35
119,-0.317946951006382,1.20489665434296,10.04,5.70982952721092,"#105CA4",36
330,0.28370594071702,1.17934620721993,9.921,5.73354423855019,"#248C46",37
