"ID","delta_Z","benefit.stan","benefit","score","cols"
296,0.712735445058262,7.41410120891368,36592,0.712735445058262,"#00441B"
2702,-1.30225189837994,6.47773349897681,32553,1.60394653746519,"#08306B"
2087,-0.539729630772575,4.20439312669632,22747,3.25477096696302,"#08306B"
491,-1.66789478131878,4.61450317345995,24516,3.25877617544789,"#08316C"
15,0.153929238197169,4.1390166240466,22465,3.27869993265714,"#00451B"
2624,-0.849805731180159,3.77921402790349,20913,3.73290431158084,"#08316D"
319,0.440527962288144,3.6595889379487,20397,3.78026814900536,"#00471C"
2160,-0.212316485224217,3.45673631447884,19522,3.96305629503332,"#08326E"
462,-0.384265032103801,3.22768672363516,18534,4.20401306580362,"#08326F"
2088,-0.26532013735512,3.08603763456078,17923,4.33618831220769,"#08336F"
497,-0.311729626175281,2.98379991233197,17482,4.44125488328794,"#083370"
328,-0.0661485301898084,2.76170526857868,16524,4.65286617190865,"#083471"
96,-0.859231947253594,2.47168397490921,15273,5.0165493772279,"#083472"
95,-0.746498173165851,2.28900069800149,14485,5.17918089754474,"#083573"
26,-0.239781206596079,2.19163143873596,14065,5.22797145434602,"#083674"
2911,-0.170373465754349,2.1325143884676,13810,5.28433406019556,"#083674"
398,-0.775557502142372,2.18212634437909,14024,5.28914458322431,"#083775"
937,-0.273926167197334,2.13065973591016,13802,5.290537717825,"#083776"
63,0.556277062227575,2.13042790434048,13801,5.31287565819303,"#00491D"
1189,0.552397426113761,2.01033915124633,13283,5.43192298290968,"#004A1D"
2089,-0.419037609737697,1.99040163625386,13197,5.43986301048519,"#083877"
2094,-1.32446590120155,2.12138647312297,13762,5.45591781443798,"#083878"
2095,0.0314456806294149,1.95516323766253,13045,5.45902854039049,"#004C1E"
399,-1.47698970779507,2.0796567905806,13582,5.53514189964607,"#083978"
374,-1.9432118191982,2.22779716360602,14221,5.53839523911451,"#083979"
2327,-0.174829723846924,1.85593932583956,12617,5.56091080226958,"#083A7A"
1195,0.320380373686816,1.85338917857308,12606,5.56993374002047,"#004E1F"
74,-0.198115193135861,1.82580122178118,12487,5.59181065272568,"#083B7B"
86,-0.970742002827741,1.90045098721808,12809,5.59845325096655,"#083B7C"
1242,-0.243712196553281,1.80841385405519,12412,5.61098265504085,"#083C7D"
2082,-0.860259373880035,1.85941679938475,12632,5.62090429377802,"#083C7D"
2766,-1.133831188872,1.83878378968325,12543,5.68944087674995,"#083D7E"
329,0.133413226235018,1.72309983641301,12044,5.69256495006767,"#004F1F"
273,0.556522512243612,1.7358505727454,12099,5.70545770239158,"#005120"
2915,-0.815427801534847,1.75972922442242,12202,5.71286662180341,"#083D7F"
2116,-0.301676559411756,1.70455331083862,11964,5.71751221659489,"#083E80"
2626,-0.516405206319582,1.70339415299022,11959,5.734008145764,"#083E81"
487,-0.816187197102251,1.72194067856461,12039,5.75037851310481,"#083F81"
102,-1.9166596396447,1.9876196574177,13185,5.75502269352338,"#084082"
332,0.140885623900575,1.63314918737723,11656,5.78266850462036,"#005321"
1586,0.5728736842489,1.62387592459004,11616,5.81849577651524,"#005422"
2130,-0.907318977556433,1.64937739725482,11726,5.83568919252394,"#084083"
2613,-0.298778707603563,1.58539188402318,11450,5.83636197559599,"#084184"
588,0.344793673845891,1.57588678966631,11409,5.84838698126518,"#005622"
2307,-0.700937022785432,1.59002851541678,11470,5.86610053178835,"#084185"
2475,-0.233324108799006,1.5369390859601,11241,5.88179179835763,"#084286"
389,-1.03087474496442,1.60741588314277,11545,5.89748227740692,"#084286"
2163,-0.558104236596251,1.5047144977746,11102,5.93568291274844,"#084387"
2090,-0.826060160887782,1.52952047573034,11209,5.94227782880929,"#084388"
2621,-0.899586806625817,1.5380982438085,11246,5.94446526346821,"#084489"
2687,-1.00546375621743,1.52697032846387,11198,5.972375353962,"#08448A"
2165,-0.791776073358001,1.46043466796575,10911,6.00608480052897,"#08458A"
167,-0.831673893075124,1.46344847837159,10924,6.0084897756367,"#08468B"
152,-1.94949577882655,1.69783019531791,11935,6.03956025655327,"#08468C"
418,-0.597558668530234,1.37535248189325,10544,6.06824213017464,"#08478D"
2568,-0.448628123332171,1.34312789370775,10405,6.08752693521655,"#08478E"
2246,0.103266435428728,1.32458136813337,10325,6.09039537698032,"#005823"
25,0.366793103559715,1.33431829405992,10367,6.09083717337499,"#005924"
386,-1.30446019160612,1.4449019527972,10844,6.11007006103094,"#08488F"
106,-1.1627510405957,1.41267736461171,10705,6.11302528551639,"#08488F"
385,-0.463204924854034,1.31206246337066,10271,6.11959440277845,"#084990"
2316,-1.31254081414461,1.39482633374636,10628,6.16071695597322,"#084991"
2477,0.239190837794417,1.25781387606557,10037,6.16093223315034,"#005B24"
119,-0.470103173130742,1.25850937077461,10040,6.17351665350891,"#084A92"
