"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,0.682602850273842,7.50211037810325,36.592,0.682602850273842,"#00441B",1
15,-1.13172862330627,5.22560139120145,26.775,2.54230266574523,"#08306B",2
491,-0.566456380079699,4.02763404615362,21.609,3.52034921730944,"#08316C",3
937,-1.80805291683802,4.42788407278013,23.335,3.56650006679196,"#08326E",4
319,1.51553903995767,3.90704887011318,21.089,3.90145175900813,"#00461C",5
497,0.350712666365564,3.42980984647624,19.031,4.0873745845272,"#00481D",6
462,0.298305149971956,3.3145582455299,18.534,4.19816374448632,"#004B1E",7
588,0.635170491711328,3.19049465094984,17.999,4.35815003552854,"#004D1F",8
77,-0.184270678992867,3.0724603151718,17.49,4.43348117884412,"#08336F",9
68,-0.594531678709564,3.05530011704297,17.416,4.48637820684572,"#083471",10
328,-0.204059786502473,2.98248522228009,17.102,4.5242294311426,"#083572",11
26,-0.880073241278372,2.93749767583424,16.908,4.64867917066018,"#083674",12
399,1.05531166330551,2.96973102096812,17.047,4.65361637263894,"#005020",13
1242,-0.198450055994333,2.76450432713008,16.162,4.74176059274841,"#083775",14
96,-0.462710954076325,2.6290778986539,15.578,4.89495117164517,"#083877",15
159,-0.511077703786398,2.63046926606975,15.584,4.89837601085937,"#083979",16
273,-1.21570954159359,2.61099012224784,15.5,5.0399411749306,"#083A7A",17
63,-0.39352863192698,2.47602748291027,14.918,5.04146546685561,"#083B7C",18
95,0.320380373686816,2.37561713439968,14.485,5.13649457914461,"#005221",19
474,0.199992604168803,2.34500705125096,14.353,5.16097972923293,"#005422",20
397,0.860645437298852,2.30164276679026,14.166,5.27120232442834,"#005723",21
25,-0.549305561204274,2.24366912446313,13.916,5.28705409633325,"#083C7D",22
724,0.640944688238098,2.23277007970563,13.869,5.30817833853552,"#005924",23
374,-1.15614979512828,2.32042622690425,14.247,5.30909907531984,"#083D7F",24
119,-0.317946951006382,2.18894200610632,13.68,5.32267305146979,"#083E80",25
329,0.551873917004234,2.19566694861627,13.709,5.33506388814746,"#005C25",26
74,-0.254220224341038,2.13792520085844,13.46,5.37020581898281,"#083F82",27
932,-2.30188615766145,2.62049779958949,15.541,5.3971123065522,"#084084",28
86,-0.817548076111354,2.11357627108105,13.355,5.45020042560775,"#084185",29
102,-1.31998427839276,2.20795736078962,13.762,5.45622714574229,"#084287",30
152,0.835437666347065,2.06093620384801,13.128,5.50493710126951,"#005E26",31
385,0.208989683528173,1.95356901825817,12.665,5.55247583603321,"#006127",32
58,-0.940240905596869,2.02383307275865,12.968,5.55837882793277,"#084488",33
302,0.4075195447995,1.95217765084232,12.659,5.56487425343246,"#006328",34
587,0.834581087741795,1.99322298960992,12.836,5.57174710940088,"#006529",35
487,0.727421493316957,1.93107524503524,12.568,5.61832488227741,"#00682A",36
482,0.447684989833379,1.89258074653002,12.402,5.62736568365875,"#006A2B",37
506,-1.84372235616014,2.17920243419536,13.638,5.63317504662534,"#08458A",38
1241,0.515870948900236,1.8837687528963,12.364,5.64197531485669,"#006D2C",39
163,0.0644961249283849,1.81907016805922,12.085,5.68340617755831,"#026E2D",40
389,0.715108430664848,1.85965171768821,12.26,5.68759349831724,"#04702E",41
398,0.450106353576437,1.79843155139076,11.996,5.72141135453641,"#057230",42
71,-0.568292390237914,1.79193850345012,11.968,5.73838122460349,"#08468B",43
386,0.267785925222093,1.76457494427172,11.85,5.74378117238282,"#077331",44
1189,-2.09139069233941,2.09711175666014,13.284,5.7955090480307,"#08478D",45
1205,0.233620974195166,1.7014996214198,11.578,5.80531342049123,"#097532",46
327,0.132995731856803,1.66833869800868,11.435,5.83528747193876,"#0B7734",47
330,0.28370594071702,1.67042574913246,11.444,5.83858156340838,"#0D7835",48
143,-0.0613671203444117,1.65813533695911,11.391,5.84429723790423,"#08488E",49
106,0.443545189440274,1.66532406860767,11.422,5.85361484535757,"#0F7A37",50
91,-0.470103173130742,1.61477105249841,11.204,5.90607833745886,"#084990",51
1317,-0.0585926517922246,1.5737257137308,11.027,5.92867420488008,"#084A92",52
332,1.51588573947382,1.76758957367273,11.863,5.93149546333692,"#117B38",53
139,-0.292572572298414,1.54357941972069,10.897,5.96570950449857,"#084B93",54
44,-1.0281519010716,1.61036505568155,11.185,5.980782496961,"#084C95",55
