"ID","delta_Z","benefit.stan","benefit","score","cols"
296,0.682602850273842,7.50211037810324,36592,0.682602850273842,"#00441B"
15,-1.13172862330627,5.22560139120145,26775,2.54230266574523,"#08306B"
491,-0.566456380079699,4.02763404615361,21609,3.52034921730944,"#08316C"
937,-1.80805291683802,4.42788407278013,23335,3.56650006679196,"#08326E"
319,1.51553903995767,3.90704887011318,21089,3.90145175900813,"#00461C"
497,0.350712666365564,3.42980984647624,19031,4.08737458452719,"#00481D"
462,0.298305149971956,3.3145582455299,18534,4.19816374448632,"#004B1E"
588,0.635170491711328,3.19049465094984,17999,4.35815003552854,"#004D1F"
77,-0.184270678992867,3.0724603151718,17490,4.43348117884412,"#08336F"
68,-0.594531678709564,3.05530011704297,17416,4.48637820684571,"#083471"
328,-0.204059786502473,2.98248522228009,17102,4.5242294311426,"#083572"
26,-0.880073241278372,2.93749767583424,16908,4.64867917066018,"#083674"
399,1.05531166330551,2.96973102096812,17047,4.65361637263894,"#005020"
1242,-0.198450055994333,2.76450432713008,16162,4.74176059274841,"#083775"
96,-0.462710954076325,2.6290778986539,15578,4.89495117164517,"#083877"
159,-0.511077703786398,2.63046926606975,15584,4.89837601085937,"#083979"
273,-1.21570954159359,2.61099012224784,15500,5.0399411749306,"#083A7A"
63,-0.39352863192698,2.47602748291027,14918,5.04146546685561,"#083B7C"
95,0.320380373686816,2.37561713439968,14485,5.13649457914461,"#005221"
474,0.199992604168803,2.34500705125096,14353,5.16097972923293,"#005422"
397,0.860645437298852,2.30164276679026,14166,5.27120232442834,"#005723"
25,-0.549305561204274,2.24366912446313,13916,5.28705409633324,"#083C7D"
724,0.640944688238098,2.23277007970563,13869,5.30817833853552,"#005924"
374,-1.15614979512828,2.32042622690425,14247,5.30909907531984,"#083D7F"
119,-0.317946951006382,2.18894200610632,13680,5.32267305146979,"#083E80"
329,0.551873917004234,2.19566694861627,13709,5.33506388814746,"#005C25"
74,-0.254220224341038,2.13792520085844,13460,5.37020581898281,"#083F82"
932,-2.30188615766145,2.62049779958948,15541,5.3971123065522,"#084084"
86,-0.817548076111354,2.11357627108105,13355,5.45020042560775,"#084185"
102,-1.31998427839276,2.20795736078962,13762,5.45622714574229,"#084287"
152,0.835437666347065,2.06093620384801,13128,5.50493710126951,"#005E26"
385,0.208989683528173,1.95356901825817,12665,5.55247583603321,"#006127"
58,-0.940240905596869,2.02383307275865,12968,5.55837882793277,"#084488"
302,0.4075195447995,1.95217765084232,12659,5.56487425343246,"#006328"
587,0.834581087741795,1.99322298960992,12836,5.57174710940088,"#006529"
487,0.727421493316957,1.93107524503524,12568,5.61832488227741,"#00682A"
482,0.447684989833379,1.89258074653002,12402,5.62736568365875,"#006A2B"
506,-1.84372235616014,2.17920243419536,13638,5.63317504662534,"#08458A"
1241,0.515870948900236,1.8837687528963,12364,5.64197531485669,"#006D2C"
163,0.0644961249283849,1.81907016805922,12085,5.68340617755831,"#026E2D"
389,0.715108430664848,1.85965171768821,12260,5.68759349831724,"#04702E"
398,0.450106353576437,1.79843155139076,11996,5.72141135453641,"#057230"
71,-0.568292390237914,1.79193850345012,11968,5.73838122460349,"#08468B"
386,0.267785925222093,1.76457494427172,11850,5.74378117238282,"#077331"
1189,-2.09139069233941,2.09711175666014,13284,5.7955090480307,"#08478D"
1205,0.233620974195166,1.7014996214198,11578,5.80531342049123,"#097532"
327,0.132995731856803,1.66833869800868,11435,5.83528747193876,"#0B7734"
330,0.28370594071702,1.67042574913246,11444,5.83858156340838,"#0D7835"
143,-0.0613671203444117,1.65813533695911,11391,5.84429723790423,"#08488E"
106,0.443545189440274,1.66532406860767,11422,5.85361484535757,"#0F7A37"
91,-0.470103173130742,1.61477105249841,11204,5.90607833745886,"#084990"
1317,-0.0585926517922246,1.5737257137308,11027,5.92867420488008,"#084A92"
332,1.51588573947382,1.76758957367273,11863,5.93149546333692,"#117B38"
139,-0.292572572298414,1.54357941972069,10897,5.96570950449857,"#084B93"
44,-1.0281519010716,1.61036505568155,11185,5.980782496961,"#084C95"
352,0.52022621457568,1.53082521840873,10842,5.99390371733812,"#137D39"
65,-0.343124505931481,1.50647628863133,10737,6.00544440998403,"#084D96"
418,1.46154724425349,1.65164228901847,11363,6.03026510267868,"#157F3B"
81,-0.489843376424226,1.48583767196287,10648,6.03618122723931,"#084E98"
595,0.63737381558983,1.4946496655966,10686,6.04117783160788,"#17803C"
503,-0.539729630772575,1.44711127888835,10481,6.07900667591565,"#084F99"
75,-0.781818039146535,1.45198106484383,10502,6.10043475118748,"#08509B"
347,0.97235788121083,1.47331536522021,10594,6.10670526196542,"#19823D"
167,0.160807457593312,1.36826712532345,10141,6.13595078924936,"#1B843F"
137,-0.313732087582238,1.36803523075414,10140,6.14209294427434,"#08519C"
271,-1.67709512040871,1.55865256672575,10962,6.17554360348325,"#09529D"
381,-1.73236489555574,1.54659404912171,10910,6.20235946040856,"#09539D"
1239,-0.233987281041374,1.2961479142685,9830,6.21037198163,"#0A549E"
196,0.258199687639432,1.27156708992179,9724,6.23589101449023,"#1D8540"
1231,-1.37145018428645,1.39122468768499,10240,6.26289066879966,"#0B559F"
501,-0.434991681967746,1.24582679272855,9613,6.2713875708658,"#0C56A0"
880,-1.34987174057771,1.36989038730861,10148,6.27903461779848,"#0C57A0"
913,-2.02836924019669,1.55749309387921,10957,6.28114292390098,"#0D58A1"
333,0.451118871524729,1.23052175115419,9547,6.28779231065424,"#1E8742"
615,-0.694331579040859,1.25046468411472,9633,6.29008507293969,"#0E59A2"
110,0.737506118812618,1.23376827512451,9561,6.31157888291527,"#208943"
853,-1.92616302111005,1.49070745791835,10669,6.31245348915137,"#0F5AA3"
612,0.265157783088978,1.19504188204998,9394,6.31263983321084,"#228A44"
162,-1.24452532284846,1.30032201651605,9848,6.32542663866473,"#0F5BA3"
76,0.0532290088411046,1.17556273822807,9310,6.32677155957068,"#248C46"
912,-2.77637193982081,1.7965763948363,11988,6.34518393606036,"#105CA4"
49,-1.18299348888527,1.25579825920882,9656,6.3573491866809,"#115DA5"
120,0.755046897376815,1.1873893612628,9361,6.35970104153999,"#258E47"
266,-1.40364450515801,1.28316181838722,9774,6.37538540680125,"#125EA6"
1319,-0.574897298558999,1.14750349534173,9189,6.38055918696241,"#125EA6"
934,-2.33727302742158,1.54960867852272,10923,6.39492937320042,"#135FA7"
630,-0.244343571380724,1.09602290095524,8967,6.41074570902228,"#1460A8"
72,-0.323223451004814,1.07909459739572,8894,6.43114337567569,"#1561A9"
51,-1.71202724899524,1.29058244460509,9806,6.44314492852132,"#1562A9"
1225,-0.716291400436784,1.09509532267801,8963,6.44693068760518,"#1663AA"
382,0.202897848484525,1.05590514046487,8794,6.44939760773641,"#278F48"
930,-2.65062247039347,1.61477105249841,11204,6.45651328623801,"#1764AB"
144,0.0501035618326443,1.02019337679135,8640,6.48211064228346,"#289149"
902,-2.0953404271972,1.35690429142733,10092,6.49261190535563,"#1865AC"
100,0.571488956528936,1.03271568353401,8694,6.4945875420657,"#2A924A"
113,0.122557029919567,1.00303317866252,8566,6.50023266274931,"#2B944C"
686,0.0155858346418756,1.00001854926151,8553,6.50211050882188,"#2D964D"
943,-1.96069885727279,1.29985822737743,9846,6.50478837089215,"#1866AC"
1460,-1.57593991069939,1.18924451781727,9369,6.50660141487854,"#1967AD"
420,0.751882282476301,1.029701054133,8681,6.51593503832863,"#2E974E"
1238,0.0541862027147468,0.964306785587999,8399,6.53802813995702,"#30994F"
34,-1.33379947584393,1.09068932586115,8944,6.54869001792685,"#1A68AE"
1240,-0.330756485357475,0.949001744013636,8333,6.56145049686316,"#1B69AF"
927,-2.36133437650441,1.36919470360068,10145,6.57179995954082,"#1B6AAF"
696,0.846327913856177,0.984017823979224,8484,6.57280773200458,"#329B51"
78,-0.129422837536101,0.923029552251082,8221,6.58035369748249,"#1C6BB0"
1291,-0.184022734562323,0.910507245508421,8167,6.5941713827038,"#1D6CB1"
99,-0.0568324542964083,0.899840095320229,8121,6.60251488561602,"#1E6DB2"
876,0.518952853133896,0.919551133711454,8206,6.60298404281758,"#339C52"
313,1.06409257721649,0.974278252068266,8442,6.6139916297635,"#359E53"
112,0.32833281642967,0.87920147865177,8032,6.63104250693495,"#369F54"
64,-0.388921881139186,0.878273900374536,8028,6.63524452551059,"#1E6EB2"
267,-1.26536521678846,0.97984372173167,8466,6.643877743357,"#1F6FB3"
339,0.0472344356416739,0.837692350745544,7853,6.66458541360831,"#38A155"
358,-1.20441504312098,0.942508696072998,8305,6.66925706679463,"#2070B4"
617,-1.14283855999797,0.918391660864911,8201,6.68217270967554,"#2171B5"
73,-0.0346516919358137,0.813807210106766,7750,6.68839293154834,"#2171B5"
911,-2.48182981735427,1.28362560752584,9776,6.69544860963116,"#2272B5"
838,0.538798059035104,0.818676996062245,7771,6.70511633908018,"#39A357"
125,0.0101959370553447,0.780878181264956,7608,6.7212399303215,"#3BA458"
539,-0.987592066614176,0.852301708611981,7916,6.7227444865085,"#2373B6"
274,-1.10602874018782,0.848823290072353,7901,6.74459254884089,"#2474B6"
846,0.651330531923252,0.786211756359052,7631,6.74740881815834,"#3CA659"
483,0.195938748219454,0.754442200363784,7494,6.75051241239742,"#3EA75A"
691,0.0928113887853642,0.744238839314209,7450,6.75850883617556,"#3FA95B"
906,-2.0429620502072,1.0596154535738,8810,6.75865628591767,"#2575B7"
1468,-0.544243321742554,0.76441366684405,7537,6.75964183712231,"#2676B7"
1232,-0.876465929297829,0.798502168532404,7684,6.76066236049734,"#2777B8"
308,1.05456037422431,0.817749417785011,7767,6.76703620728533,"#41AB5D"
380,1.55988709076752,0.903550408429165,8137,6.78043076871436,"#43AC5E"
126,-0.981815787728302,0.789922069467988,7647,6.78361512260331,"#2878B8"
687,0.930780095676932,0.776935973586711,7591,6.78927995870495,"#45AD5F"
673,0.974235134341014,0.770211031076764,7562,6.80202932333285,"#48AE60"
879,-1.28087101013045,0.820532152616713,7779,6.80324320658084,"#2979B9"
694,0.366793103559715,0.698555609160429,7253,6.81343486611735,"#4AAF61"
299,1.21635031343452,0.78806691291352,7639,6.82333406315777,"#4CB062"
392,0.688854216285108,0.712933072457558,7315,6.82403462907305,"#4FB264"
272,-1.13194472602855,0.766964507106444,7548,6.82960385135105,"#2A7AB9"
355,0.264955450897979,0.670496366274098,7132,6.83675006107294,"#51B365"
693,0.914678155814754,0.725455379200218,7369,6.83810566625597,"#53B466"
1306,0.344777034028679,0.658437848670055,7080,6.8523517782811,"#56B567"
627,-0.906889012078828,0.70783139193277,7293,6.85453679121697,"#2A7ABA"
717,0.107843866633972,0.645219858219469,7023,6.85773854132997,"#58B668"
103,1.02051311360782,0.715020123581335,7324,6.8633840879024,"#5AB769"
1303,-0.780094392723365,0.682554883878141,7184,6.86402829250974,"#2B7BBA"
944,-1.62790103257083,0.82424246572565,7795,6.87342575627376,"#2C7CBB"
478,0.427304279289338,0.639422493986755,6998,6.87597803529783,"#5DB86A"
118,-0.249859592508126,0.612058934808349,6880,6.89458038659485,"#2D7DBB"
82,-0.934226862428142,0.670728260843406,7133,6.89496638588614,"#2E7EBB"
493,-0.939576406272974,0.664467107472076,7106,6.90189606699728,"#2F7FBC"
390,0.185069639533852,0.583535902783401,6757,6.92104930931896,"#5FBA6C"
548,-0.907318977556433,0.633161340615425,6971,6.92861375793448,"#3080BC"
109,-1.59231297488425,0.756065462348943,7501,6.93141995664375,"#3181BD"
138,0.710413767007424,0.60417451945186,6846,6.93442188148531,"#61BB6D"
423,0.526174009753663,0.578666116827922,6736,6.94340979112759,"#64BC6E"
130,-0.128737481735671,0.558723183867389,6650,6.94458055380468,"#3282BD"
1472,-0.743906248745487,0.593971158402285,6802,6.94807771874302,"#3383BE"
97,-0.345786100293473,0.558259394728772,6648,6.95245528618968,"#3383BE"
62,-0.214957011085962,0.551070663080207,6617,6.95436263337213,"#3484BF"
679,-0.233324108799006,0.548056033679197,6604,6.95796751680761,"#3585BF"
714,-0.0620483831550721,0.515822688545312,6465,6.98656322401228,"#3686C0"
1233,0.611441056606237,0.532055308396908,6535,6.99682269608447,"#66BD6F"
695,0.654475736575518,0.535765621505845,6551,6.99702063435132,"#68BE70"
689,0.789824756385844,0.548519822817814,6606,6.9983029911797,"#6BBF71"
843,0.471260374792835,0.516518372253237,6468,7.00146998944118,"#6DC072"
1190,-0.290941239197108,0.501677119817492,6404,7.00647647597413,"#3787C0"
38,-0.951680274369037,0.548519822817814,6606,7.01841270909441,"#3888C1"
88,-0.588546564333724,0.506083116634354,6423,7.02073959790597,"#3989C1"
363,-0.149849868385291,0.481734186856958,6318,7.02197528119209,"#3A8AC2"
121,0.802892273905867,0.523011420193876,6496,7.02513048048144,"#6FC274"
1316,-0.232982504689147,0.473849771500469,6284,7.03212115949488,"#3B8BC2"
502,-0.431141121368956,0.48150229228765,6317,7.03383398731834,"#3C8CC2"
472,0.525841279688573,0.484285027119352,6329,7.03749825636474,"#72C375"
454,1.4294821605585,0.610899461961807,6875,7.03791212918305,"#74C476"
133,0.0324806379690794,0.460631781049883,6227,7.04155350931905,"#76C577"
895,-1.52874293237058,0.625740714397552,6939,7.04425402049109,"#3C8CC3"
94,0.11384252468844,0.455298205955787,6204,7.04773168543986,"#78C579"
140,-0.990085082596458,0.506315011203662,6424,7.06550927296212,"#3D8DC3"
892,-2.10771632692527,0.757688724334103,7508,7.06609450535566,"#3E8EC4"
709,-0.320125709728097,0.443007793782435,6151,7.06635760247057,"#3F8FC4"
841,-0.303077287332842,0.440688848089349,6141,7.06792259908389,"#4090C5"
105,0.694966376849713,0.447645685168605,6171,7.08861413597983,"#79C67A"
904,-2.06071047995446,0.717570963843728,7335,7.09059255251879,"#4191C5"
1294,-0.853508441972307,0.459704202772649,6223,7.09393835600878,"#4292C6"
35,-2.00119581864915,0.690671193803939,7219,7.09933014206177,"#4392C6"
147,-0.634908590748675,0.423992439099136,6069,7.10653660210501,"#4493C6"
388,1.3473020640945,0.524170893040419,6501,7.10681801575868,"#7BC77C"
596,0.397595104646632,0.387816886287006,5913,7.12539498939798,"#7DC87D"
283,0.152102822704053,0.378309208945356,5872,7.12542478497737,"#7FC97F"
326,0.974727570948022,0.438369902396264,6131,7.13067481699364,"#81CA80"
342,0.446018485287029,0.37622215782158,5863,7.13983301045387,"#82CA82"
905,-1.91586039474191,0.624117452412393,6932,7.13983947564608,"#4594C7"
27,-0.431939684275374,0.365786902202696,5818,7.14938351492919,"#4695C7"
946,-2.06686759195278,0.651017222452182,7048,7.15607567526179,"#4795C8"
698,0.681323807079542,0.367410164187856,5825,7.16715768436398,"#84CB83"
123,-0.243712196553281,0.335176819053971,5686,7.17107608902426,"#4896C8"
306,-1.19744915084899,0.428630330485306,6089,7.17412046545903,"#4997C8"
486,1.30429647812108,0.447413790599297,6170,7.17425489124682,"#86CC85"
942,-1.71391263602968,0.534838043228611,6547,7.1749829485687,"#4A97C9"
586,0.887830540804754,0.378077314376048,5871,7.17914271778072,"#88CD86"
614,-1.12825773557437,0.411238237787167,6014,7.18007195146359,"#4B98C9"
387,0.907285694851572,0.374135106697803,5854,7.1854852864542,"#8ACE88"
1322,-0.467080115373341,0.322190723172693,5630,7.19509625268733,"#4C99CA"
1293,-1.45018632218873,0.449500841723073,6179,7.20016261217091,"#4D99CA"
918,0.496346215184026,0.300392633657692,5536,7.21880170360632,"#8CCF89"
46,-1.87373721143783,0.513735637421535,6456,7.23521061571292,"#4E9ACA"
1216,-2.28146905031571,0.630378605783723,6959,7.24056617801771,"#4F9BCB"
716,-0.448628123332171,0.274420441895137,5424,7.2415998927729,"#509BCB"
1318,-0.253318244657677,0.263985186276253,5379,7.2425566221906,"#519CCC"
117,0.492844789646149,0.263753291706945,5378,7.25511607742184,"#8DD08B"
525,-1.42035240573077,0.382947100331527,5892,7.25946876376216,"#529DCC"
459,0.572688685215569,0.257260243766306,5350,7.26744974521158,"#8FD08C"
921,-2.33063825971884,0.616928720763828,6901,7.26894773349131,"#539ECC"
356,0.00197092312472963,0.231288052003751,5238,7.27082259323144,"#91D18E"
878,-1.55772487475315,0.396165090782113,5949,7.27467973259484,"#549ECD"
134,-1.49124731875509,0.377149736098814,5867,7.27934631102316,"#559FCD"
1308,-0.294448517423877,0.227345844325506,5221,7.28072104611374,"#56A0CE"
1469,-1.07023666042477,0.299233160811149,5531,7.28195349591733,"#57A0CE"
477,0.442986939174504,0.233606997696837,5248,7.281990031527,"#93D28F"
473,0.576954957469449,0.239636256498858,5274,7.285355680399,"#95D391"
146,-0.411569134620588,0.227809633464124,5223,7.28593442710196,"#58A1CE"
67,-0.69540110935453,0.243346569607795,5290,7.29199799303421,"#59A2CF"
680,0.925220432133911,0.258419716612849,5355,7.30253978061066,"#96D492"
379,1.543332657289,0.356743013999663,5779,7.31014024893171,"#98D594"
1301,-0.349251971003392,0.197895234023324,5094,7.31256014062491,"#5AA2CF"
1288,-0.779398208518106,0.229432895449283,5230,7.31432152247515,"#5BA3D0"
599,1.48921243496563,0.337031975608439,5694,7.3182034810706,"#9AD595"
863,-1.37891551681256,0.31477009695482,5598,7.31841979661765,"#5CA4D0"
924,-2.62376288777135,0.667945526011704,7121,7.3205150718245,"#5DA4D0"
270,-1.36945309367042,0.308972732722107,5573,7.32233780709158,"#5EA5D1"
710,-0.0351210402150025,0.178879879340025,5012,7.32331471572003,"#5FA6D1"
631,0.105827136973924,0.177488511924174,5006,7.3253863287494,"#9CD697"
919,-1.63269019304813,0.35883006512344,5788,7.32749144634645,"#60A7D2"
897,-1.67676084538787,0.367642058757164,5826,7.32885837851836,"#61A7D2"
1243,-0.716669101680297,0.207402911364973,5135,7.32982753048053,"#62A8D2"
142,0.0909289443222092,0.170531674844918,4976,7.33214254873612,"#9ED798"
115,1.33853959508313,0.291348745454659,5497,7.33394652083598,"#9FD89A"
375,-0.817770133705464,0.211808908181835,5154,7.33602368547968,"#63A9D3"
1305,-0.251564057031471,0.16705325630529,4961,7.33936969056805,"#64A9D3"
1314,-0.27374452908548,0.16542999432013,4954,7.34178555400471,"#65AAD4"
400,1.54442549577041,0.319407988340991,5618,7.346867613608,"#A1D99B"
621,1.27464085005191e-05,0.150820636453693,4891,7.3512897416606,"#A2D99C"
952,0.61836449086189,0.170763569414226,4977,7.35737865498532,"#A4DA9E"
840,-0.974748461439525,0.203692598256037,5119,7.36322189345592,"#66ABD4"
92,0.412127235475796,0.148037901621991,4879,7.36561136957144,"#A5DA9F"
893,-2.15107339617967,0.450660314569616,6184,7.3722496399851,"#67ABD4"
50,-1.13435165332962,0.214823537582846,5167,7.37504597744539,"#68ACD5"
383,1.73363067607914,0.329843243959875,5663,7.3788136691853,"#A6DBA0"
951,0.497894967216721,0.139921591696193,4844,7.37900556478158,"#A8DBA1"
70,-1.35274297166768,0.247752566424657,5309,7.37940517977286,"#69ADD5"
607,0.634250082829371,0.147342217914065,4876,7.3820652840314,"#A9DCA3"
303,1.39744082456385,0.250999090394976,5323,7.38454167602079,"#AADDA4"
723,0.0260882323698464,0.112789927087095,4727,7.38936650354235,"#ABDDA5"
104,0.482321715740409,0.127167390384224,4789,7.39069809352139,"#ADDEA6"
1210,-0.245757726229294,0.106760668285073,4701,7.39943201810173,"#6AADD5"
598,0.0454709378682669,0.101658987760286,4679,7.40059108362431,"#AEDEA8"
729,0.689399733919555,0.132037176339703,4810,7.40224634772996,"#AFDFA9"
544,-0.54376786442233,0.112326137948478,4725,7.40976346494395,"#6CAED6"
1310,-0.381086227166841,0.0958616235275727,4654,7.41604661037065,"#6DAFD6"
884,-1.72670478703276,0.282536751820935,5459,7.42319020144796,"#6EAFD6"
505,-0.419037609737697,0.080092792814593,4586,7.43383733711659,"#6FB0D6"
101,1.17459930165229,0.1591688409488,4927,7.4362943686698,"#B1DFAA"
678,0.567416271256397,0.0777738471215078,4576,7.44598778874613,"#B2E0AB"
98,0.552573166415031,0.0742954285818799,4561,7.44834021971171,"#B3E0AD"
39,-0.62868718751073,0.0791652145373589,4582,7.44952095648078,"#70B1D7"
40,-1.38476262311565,0.181430719602418,5023,7.45049784811498,"#71B1D7"
460,0.918497163403162,0.107920141131616,4706,7.45101914503689,"#B4E1AE"
394,0.555609773772572,0.0643239621016133,4518,7.45850983714374,"#B6E1AF"
917,-1.8755258128376,0.282768646390244,5460,7.4589873383639,"#72B2D7"
543,-0.984324688362434,0.10722445742369,4703,7.46010944101925,"#73B2D7"
705,-1.04477981655166,0.112558032517787,4726,7.46304554007419,"#74B3D8"
733,-0.239781206596079,0.0411345051707608,4418,7.46482792859402,"#76B4D8"
933,-2.16374899596138,0.354655962875887,5770,7.46779179779919,"#77B4D8"
922,-2.23199261430252,0.372511844712643,5847,7.47080760544845,"#78B5D8"
954,-1.47529130208693,0.174473882523163,4993,7.47467330639744,"#79B5D9"
629,-0.246247979787344,0.0269889364429408,4357,7.47917633400356,"#7AB6D9"
1320,-0.420288803806439,0.0302354604132602,4371,7.48368608803241,"#7BB7D9"
376,-0.112933811793705,0.0174812591012913,4316,7.48548108640041,"#7CB7D9"
136,-0.664280031340317,0.0320906169677284,4379,7.49949752928772,"#7DB8DA"
567,-0.791776073358001,0.0443810291410802,4432,7.49964241765658,"#7EB8DA"
620,-0.788407164525554,0.033250089814271,4384,7.51035683992813,"#80B9DA"
926,-2.22770360476598,0.328683771113332,5658,7.51137222061044,"#81BADA"
684,0.322056800436073,-0.00825903809195499,4205,7.51727140327043,"#B7E2B0"
291,-1.17278156188804,0.0754549014284225,4566,7.51868526812558,"#82BADB"
715,0.517227654879419,0.00101674468038601,4245,7.5189048500662,"#B8E3B2"
1332,0.673956248672662,0.0121476840071952,4293,7.52022328020089,"#BAE3B3"
872,-1.97748777186054,0.244506042454337,5295,7.52218575818809,"#83BBDB"
479,0.449223696395409,-0.0115055620622743,4191,7.52703304268771,"#BBE4B4"
903,-1.99725302702838,0.242187096761252,5285,7.52964180455787,"#84BBDB"
845,-0.280159977824624,-0.0323760733000416,4101,7.53969334254082,"#85BCDB"
1321,-0.667601829215688,-0.0166072425870619,4169,7.54829827590637,"#86BDDB"
871,-1.35487119693319,0.0761505851363481,4569,7.54854653605846,"#87BDDC"
538,-0.694578153013521,-0.0154477697405193,4174,7.54957742637665,"#88BEDC"
882,-1.77616619049416,0.158936946379492,4926,7.55492967436681,"#8ABFDC"
1315,-0.627314538843472,-0.0430432234882337,4055,7.57118659143025,"#8BBFDC"
87,-0.0844695481299478,-0.0717981500824909,3931,7.57437954540739,"#8CC0DD"
722,-0.109120261596761,-0.0752765686221187,3916,7.57817261428472,"#8DC0DD"
1304,-0.491161114019169,-0.0755084631914272,3915,7.59352003644348,"#8EC1DD"
287,-2.32177804957683,0.270478234216892,5407,7.59520617073606,"#8FC2DD"
349,1.25660220961411,0.00148053381900306,4247,7.6051625343693,"#BCE4B5"
707,0.270309919875151,-0.10333581150845,3795,7.61024830053934,"#BDE5B7"
411,0.239386003025939,-0.108205597463929,3774,7.61408004334192,"#BFE5B8"
1323,-0.437124673710755,-0.103799600647067,3793,7.61846077532859,"#90C2DE"
890,-2.2780129088271,0.221548480092793,5196,7.62862532593812,"#91C3DE"
887,0.868047063388082,-0.0782911980231295,3903,7.62994061311069,"#C0E6B9"
685,-0.0849033023055198,-0.129539897840314,3682,7.63212254258616,"#92C3DE"
731,0.830572595734483,-0.086871297087545,3866,7.63429719772336,"#C1E6BA"
148,-0.05103657851612,-0.136960524058186,3650,7.63924138776856,"#94C4DE"
690,0.139739360334644,-0.139279469751272,3640,7.64266745944901,"#C3E7BC"
940,-1.84688274337677,0.0812522656611357,4591,7.64722897478431,"#95C5DF"
936,-2.28177030065171,0.199286601439175,5100,7.65099410651624,"#96C5DF"
611,0.780834965965126,-0.113075383419408,3753,7.65511315569999,"#C4E7BD"
1307,-0.231701146041252,-0.152265565632549,3584,7.65788198584426,"#97C6DF"
839,-0.605499286396905,-0.132554527241324,3669,7.6586381036531,"#98C6DF"
941,-1.88565370812977,0.0770781634135822,4573,7.66073059806719,"#99C7E0"
601,1.23436036852253,-0.059507737909139,3984,7.6617043829546,"#C5E8BE"
365,-1.41945576794528,-0.0328398624386586,4099,7.6674852334123,"#9AC8E0"
609,0.362053659512292,-0.15690345701872,3564,7.66756648350413,"#C7E9C0"
116,0.947181745282911,-0.110988332295632,3762,7.67179413389555,"#C7E9C0"
149,0.514715275748241,-0.152961249340475,3581,7.67235644612413,"#C8E9C1"
166,-0.0211087133063854,-0.17104902574654,3503,7.67318843862614,"#9BC8E0"
633,-0.478054168001444,-0.15690345701872,3564,7.6739187325729,"#9CC9E0"
157,0.345346896365333,-0.175223127994093,3485,7.68509689221118,"#C9E9C2"
89,0.250574462021917,-0.181716175934732,3457,7.68791116452035,"#CAEAC3"
603,0.101359231138718,-0.187049751028828,3434,7.68982816356591,"#CAEAC4"
1296,-0.198115193135861,-0.189600591291222,3423,7.69426197022524,"#9ECAE1"
852,-2.60903929375162,0.262361924291094,5372,7.69552101620257,"#9ECAE1"
107,0.220604819964272,-0.191687642414998,3414,7.69696007961078,"#CBEAC5"
93,0.557702819756464,-0.175455022563402,3484,7.69779467878157,"#CCEBC5"
290,-1.6786007611857,-0.017998610002913,4163,7.70517616336241,"#9FCAE1"
160,-0.222778888917629,-0.20235479260319,3368,7.70768538537841,"#A0CAE1"
318,1.53897466561824,-0.0525509008298833,4014,7.70982166206368,"#CDEBC6"
702,0.248798353975687,-0.204441843726967,3359,7.71056727930813,"#CEEBC7"
135,-0.573999734642215,-0.190296274999147,3420,7.71379256994011,"#A0CBE2"
338,0.656268726039997,-0.18519459447436,3442,7.71526709726854,"#CEECC8"
395,0.285302990547972,-0.208847840543829,3340,7.71623447324772,"#CFECC9"
369,-1.46809247999146,-0.077595514315204,3906,7.72057231980703,"#A1CBE2"
476,0.191813844026876,-0.220442569009255,3290,7.72493472928518,"#D0ECCA"
370,-0.60670126832452,-0.200963425187339,3374,7.72692904380053,"#A2CBE2"
866,0.865216521965142,-0.17731017911787,3476,7.72800748735091,"#D1EDCA"
384,0.785040015099692,-0.187049751028828,3434,7.729131342961,"#D1EDCB"
745,-0.634828869830534,-0.204905632865584,3357,7.73311732015623,"#A3CCE2"
855,0.373753370486309,-0.222065830994415,3283,7.73321341300886,"#D2EDCC"
725,0.257494095118152,-0.229950246350905,3249,7.7363469873872,"#D3EECD"
371,-0.656784772591114,-0.206992683989361,3348,7.7370301963656,"#A3CCE3"
929,-2.55787945813172,0.185604821849972,5041,7.75074195654953,"#A4CCE3"
