"","site","psm_crit","alpha","delta_z"
"1","845",0.1,0.7,0.617173090975861
"2","845",0.11,0.7,0.695675387321016
"3","845",0.12,0.7,0.770964504532395
"4","845",0.13,0.7,0.838631265620178
"5","845",0.14,0.7,0.901452234118493
"6","845",0.15,0.7,0.964125508342248
"7","845",0.16,0.7,1.02258377187652
"8","845",0.17,0.7,1.07675727518804
"9","845",0.18,0.7,1.12741776404822
"10","845",0.19,0.7,1.17522711693329
"11","845",0.2,0.7,1.22399125871692
"12","845",0.21,0.7,1.27010096556769
"13","845",0.22,0.7,1.3132962007825
"14","845",0.23,0.7,1.35516302051548
"15","845",0.24,0.7,1.39864384501608
"16","845",0.25,0.7,1.43972063520233
"17","845",0.26,0.7,1.47783541993534
"18","845",0.27,0.7,1.51967380565569
"19","845",0.28,0.7,1.55494184999577
"20","845",0.29,0.7,1.58872171258287
"21","845",0.3,0.7,1.62654004268733
"22","845",0.31,0.7,1.65736908357075
"23","845",0.32,0.7,1.69727325455858
"24","845",0.33,0.7,1.7336649618888
"25","845",0.34,0.7,1.766042133399
"26","845",0.35,0.7,1.79693707911356
"27","845",0.36,0.7,1.82875259367021
"28","845",0.37,0.7,1.86448124818714
"29","845",0.38,0.7,1.89755977370399
"30","845",0.39,0.7,1.92983809085078
"31","845",0.4,0.7,1.95869195727735
"32","845",0.41,0.7,1.9877117221595
"33","845",0.42,0.7,2.01522279511117
"34","845",0.43,0.7,2.04456605210724
"35","845",0.44,0.7,2.07242935510767
"36","845",0.45,0.7,2.10057962757334
"37","845",0.46,0.7,2.12789642527628
"38","845",0.47,0.7,2.15838799363482
"39","845",0.48,0.7,2.18755787376556
"40","845",0.49,0.7,2.21700566901663
"41","845",0.5,0.7,2.24730695185688
"42","845",0.1,0.71,0.579696176755322
"43","845",0.11,0.71,0.659640680140497
"44","845",0.12,0.71,0.734166494003429
"45","845",0.13,0.71,0.800029761543019
"46","845",0.14,0.71,0.864830942867738
"47","845",0.15,0.71,0.926283201787594
"48","845",0.16,0.71,0.982015065106584
"49","845",0.17,0.71,1.03305563698502
"50","845",0.18,0.71,1.08701389870473
"51","845",0.19,0.71,1.14102716432929
"52","845",0.2,0.71,1.18676692947552
"53","845",0.21,0.71,1.23307446607162
"54","845",0.22,0.71,1.28052439690596
"55","845",0.23,0.71,1.32269370153173
"56","845",0.24,0.71,1.36550539480255
