"ID","conservation.action","Coho_Habitat_m","coho.rank","Chin_Habitat_m","chin.rank","nsp","nsp.rank"
6,"preservation",1869,357,NA,NA,1,459
13,"preservation",125,439,125,187,3,112
15,"preservation",26775,2,22465,2,3,28
19,"preservation",2170,302,2177,128,3,76
25,"preservation",13916,22,10367,14,3,60
26,"restoration",16908,25,14065,12,3,40
27,"preservation",5818,161,7485,39,3,90
31,"preservation",1187,341,1184,150,2,235
34,"preservation",8944,76,6658,48,3,48
35,"preservation",7219,117,7270,40,3,23
37,"preservation",1419,330,1301,146,2,214
38,"preservation",6606,123,5117,74,2,136
39,"restoration",4582,418,4172,194,3,6
40,"preservation",5023,189,4543,81,3,47
43,"preservation",1438,328,5544,67,3,36
44,"preservation",11185,43,8908,24,3,53
45,"preservation",785,360,2540,118,3,46
46,"preservation",6456,130,5441,70,3,73
47,"preservation",2214,296,1421,140,3,9
49,"restoration",9656,155,1023,369,3,136
50,"preservation",5167,180,4865,77,3,25
51,"preservation",9806,59,7661,35,3,26
52,"preservation",2815,276,1287,145,3,57
58,"restoration",12968,64,2412,277,3,37
61,"preservation",305,444,302,193,2,333
62,"preservation",6617,138,6551,55,2,310
63,"preservation",14918,18,13801,4,3,87
64,"preservation",8028,100,7205,44,3,105
65,"preservation",10737,50,6816,47,3,92
67,"preservation",5290,181,3512,96,2,252
68,"restoration",17416,23,8801,64,3,28
70,"preservation",5309,183,265,169,3,96
71,"preservation",11968,34,5698,65,3,32
72,"preservation",8894,78,6213,56,3,51
73,"restoration",7750,218,4667,172,3,26
74,"restoration",13460,59,12487,21,3,27
75,"restoration",10502,128,7061,93,3,88
76,"restoration",9310,159,NA,NA,2,322
77,"restoration",17490,22,NA,NA,2,338
78,"restoration",8221,191,6032,120,3,46
80,"preservation",807,430,NA,NA,1,457
81,"preservation",10648,62,NA,NA,1,452
82,"preservation",7133,125,4436,87,2,318
83,"preservation",624,442,12,195,2,335
86,"restoration",13355,65,12809,22,3,187
87,"restoration",3931,529,NA,NA,1,887
88,"restoration",6423,301,NA,NA,1,770
89,"restoration",3457,558,NA,NA,1,879
91,"restoration",11204,150,21,467,3,572
92,"restoration",4879,429,8,444,3,249
93,"restoration",3484,545,NA,NA,1,865
94,"restoration",6204,324,4213,203,3,181
95,"restoration",14485,46,14485,11,3,137
96,"restoration",15578,41,15273,10,3,166
97,"restoration",6648,319,3274,259,3,310
98,"restoration",4561,450,4148,217,3,246
99,"restoration",8121,223,NA,NA,1,824
100,"restoration",8694,230,6942,119,3,494
101,"restoration",4927,478,2873,316,3,585
102,"restoration",13762,85,13185,30,3,565
103,"restoration",7324,280,7324,107,3,384
104,"restoration",4789,462,NA,NA,1,893
105,"restoration",6171,320,2846,263,3,135
106,"restoration",11422,117,10705,46,3,226
107,"restoration",3414,499,NA,NA,1,744
108,"restoration",2867,561,2375,300,3,213
109,"restoration",7501,255,22,439,3,220
110,"restoration",9561,165,5934,131,3,186
111,"restoration",1749,673,NA,NA,1,828
112,"restoration",8032,229,3845,225,3,224
113,"restoration",8566,241,3264,276,3,516
114,"restoration",1325,687,NA,NA,1,753
115,"restoration",5497,364,NA,NA,2,417
116,"restoration",3762,481,31,430,3,182
117,"restoration",5378,355,4146,198,3,44
118,"restoration",6880,272,5066,161,3,105
119,"restoration",13680,56,10040,49,3,82
120,"restoration",9361,160,3962,205,3,78
121,"restoration",6496,330,2535,298,3,314
122,"restoration",1904,701,NA,NA,1,872
123,"restoration",5686,379,NA,NA,1,835
125,"restoration",7608,250,NA,NA,1,814
126,"restoration",7647,271,NA,NA,1,862
127,"restoration",2902,552,NA,NA,2,458
129,"restoration",2706,555,NA,NA,1,755
130,"restoration",6650,313,NA,NA,1,833
131,"restoration",2194,644,NA,NA,1,850
132,"restoration",3092,566,NA,NA,1,852
133,"restoration",6227,326,NA,NA,2,456
134,"restoration",5867,342,NA,NA,1,788
135,"restoration",3420,503,NA,NA,1,757
136,"restoration",4379,442,NA,NA,1,786
137,"restoration",10140,152,5560,154,3,241
138,"restoration",6846,290,NA,NA,1,820
139,"restoration",10897,141,10628,52,3,435
140,"restoration",6424,328,17,442,3,242
142,"restoration",4976,415,NA,NA,1,803
143,"restoration",11391,136,10502,55,3,490
144,"restoration",8640,219,8640,77,3,426
145,"restoration",2506,623,162,446,3,411
146,"restoration",5223,413,NA,NA,2,522
147,"restoration",6069,384,NA,NA,2,614
148,"restoration",3650,492,NA,NA,1,796
149,"restoration",3581,477,915,372,2,361
150,"restoration",1464,730,280,436,2,575
151,"restoration",688,834,NA,NA,2,583
152,"restoration",13128,96,11935,42,3,578
153,"restoration",1842,711,2056,347,3,454
154,"restoration",2991,688,2995,333,3,656
155,"restoration",2360,656,NA,NA,2,617
156,"restoration",2457,732,NA,NA,2,721
157,"restoration",3485,516,NA,NA,2,512
158,"preservation",945,352,NA,NA,2,193
159,"restoration",15584,32,1762,320,3,54
160,"restoration",3368,494,973,366,3,60
161,"restoration",1981,602,NA,NA,1,702
162,"restoration",9848,146,NA,NA,1,737
163,"restoration",12085,93,915,384,3,185
165,"restoration",2798,583,NA,NA,1,840
166,"restoration",3503,536,NA,NA,1,858
167,"restoration",10141,139,10924,41,3,154
168,"restoration",3041,551,NA,NA,1,827
170,"restoration",420,913,NA,NA,1,920
196,"restoration",9724,149,6216,116,3,108
197,"restoration",1961,609,289,399,3,63
198,"restoration",2540,575,NA,NA,1,780
208,"preservation",62,412,62,173,3,17
209,"restoration",1439,774,NA,NA,1,901
212,"restoration",15,938,15,468,3,590
216,"restoration",7,874,NA,NA,2,473
223,"restoration",9,828,NA,NA,2,326
264,"preservation",246,403,NA,NA,1,381
266,"preservation",9774,61,7851,32,2,185
267,"preservation",8466,83,8196,29,2,148
269,"preservation",1716,320,NA,NA,1,418
270,"preservation",5573,170,NA,NA,1,421
271,"preservation",10962,47,9374,21,2,225
272,"preservation",7548,113,3586,94,2,236
273,"preservation",15500,14,12099,9,2,239
274,"preservation",7901,99,NA,NA,1,384
275,"preservation",2353,298,NA,NA,1,408
276,"preservation",3864,233,NA,NA,1,376
277,"preservation",1611,329,1615,141,2,294
278,"preservation",33,427,33,181,2,230
