"ID","Z","Z_SE","psm_crit","alpha","coho.pres.m","score.coho.pres","cols.coho.pres","chin.pres.m","score.chin.pres","cols.chin.pres","numspp","score.numspp","cols.numspp"
296,-1.34871294934998,0.15673571509424,0.3,0.95,"36592","0.712735445058262","#00441B","36592","0.712735445058262","#00441B","2","1.47357069235743","#92D28F"
2089,-0.153307577856963,0.132928959151849,0.3,0.95,"30007","1.42334295803706","#08306B","13197","5.43986301048519","#083877","3","0.419037609737697","#084387"
2702,0.794121099425038,0.0954695360516292,0.3,0.95,"32553","1.54660125705526","#08306B","32553","1.60394653746519","#08306B","3","1.30225189837994","#2E7EBB"
2162,-0.457469758600565,0.13878085166902,0.3,0.95,"28445","1.6850759105796","#08306B","-9999","-9999","-9999","3","0.0851335757852248","#08336F"
15,-0.707326637932554,0.142644300829198,0.3,0.95,"26775","2.03372917843071","#00441B","22465","3.27869993265714","#00451B","3","0.153929238197169","#005723"
2624,0.227185940269937,0.13473694276042,0.3,0.95,"25682","2.40857353962996","#08306C","20913","3.73290431158084","#08316D","3","0.849805731180159","#105CA4"
2165,0.15331778436906,0.144285453788567,0.3,0.95,"25222","2.47856679471395","#08316C","10911","6.00608480052897","#08458A","3","0.791776073358001","#0C57A0"
2158,-0.466219541740906,0.126292385486549,0.3,0.95,"24352","2.53439654338297","#08316D","-9999","-9999","-9999","3","0.174034851235381","#083674"
2087,-0.0883741303117383,0.133754838056283,0.3,0.95,"24222","2.6116476307243","#08316D","22747","3.25477096696302","#08306B","3","0.539729630772575","#084991"
2161,-0.302471214591131,0.137040627994027,0.3,0.95,"23921","2.62557984248491","#08316D","1008","8.25207904478199","#C7DCEF","3","0.206513462840742","#083876"
937,-0.265960936422397,0.128540665621327,0.3,0.95,"23335","2.75216157421878","#08326E","13802","5.290537717825","#083776","3","0.273926167197334","#083D7E"
2160,-0.337680873353363,0.138436424161043,0.3,0.95,"23094","2.79635069910029","#08326E","19522","3.96305629503332","#08326E","3","0.212316485224217","#083978"
2088,-0.363043453390572,0.140360638909059,0.3,0.95,"22757","2.8701822937238","#08326F","17923","4.33618831220769","#08336F","3","0.26532013735512","#083C7E"
2095,-0.598904436513566,0.146715741114506,0.3,0.95,"21132","3.19372356409549","#00451B","13045","5.45902854039049","#004C1E","3","0.0314456806294149","#00461C"
319,-1.08714461316698,0.15831016131509,0.3,0.95,"21089","3.23260868477655","#00461B","20397","3.78026814900536","#00471C","2","1.36289532110507","#68BE70"
2766,0.577493140536667,0.138241433632576,0.3,0.95,"21667","3.28493449644731","#08336F","12543","5.68944087674995","#083D7E","2","1.71726291976251","#71B1D7"
2502,-1.23184865689938,0.151916068241604,0.3,0.95,"20973","3.29212417319757","#00461C","-9999","-9999","-9999","1","2.66120528571087","#E7F5E2"
2629,0.577792397073118,0.126804805466884,0.3,0.95,"21303","3.36334752395066","#08336F","5852","7.2197389331725","#2D7DBB","3","1.15654358560327","#1D6DB1"
491,1.06117814978224,0.14503017180339,0.3,0.95,"21609","3.5158376606993","#083370","24516","3.25877617544789","#08316C","3","1.66789478131878","#6BAED6"
2902,-0.10192079857228,0.136066807725359,0.3,0.95,"19338","3.58877190973671","#083370","3315","7.72606297892065","#66AAD4","3","0.419622976616302","#084387"
497,-0.294186778189047,0.123695369701906,0.3,0.95,"19031","3.6409412121906","#083471","17482","4.44125488328794","#083370","3","0.311729626175281","#083E80"
2113,-0.0558585337825365,0.146065874441109,0.3,0.95,"19129","3.65302429346458","#083471","-9999","-9999","-9999","1","2.64299946324135","#CADEF0"
2302,-0.307315155470496,0.134206136564899,0.3,0.95,"18581","3.72854318222216","#083472","8071","6.61658141693796","#0D58A1","3","0.244343571380724","#083B7B"
462,-0.144770451477647,0.133637649830958,0.3,0.95,"18534","3.74997705767774","#083472","18534","4.20401306580362","#08326F","3","0.384265032103801","#084286"
588,-0.916653133140017,0.152137212839237,0.3,0.95,"17999","3.85619729157924","#00471C","11409","5.84838698126518","#005622","2","1.33502863199877","#54B466"
2917,1.17582261161533,0.139287303301647,0.3,0.95,"19781","3.90108668031911","#083572","-9999","-9999","-9999","1","3.13255365541697","#EAF2FA"
2328,-0.0747968193048911,0.137961813168949,0.3,0.95,"17637","3.94696489889869","#083573","9010","6.41367525835186","#08519C","3","0.497147637892602","#08488F"
77,-0.174634515562457,0.137533350295733,0.3,0.95,"17490","3.96372508341281","#083573","-9999","-9999","-9999","2","1.34329483547015","#3C8CC2"
68,-0.36672592478377,0.1424856252099,0.3,0.95,"17416","3.96614997235721","#083674","8801","6.4458867264664","#09529D","3","0.198450055994333","#083776"
2557,-0.834879818739059,0.13850082750785,0.3,0.95,"17249","4.00481206661233","#00481C","6297","7.02853724010143","#278F48","3","0.270309919875151","#006026"
328,-0.507588387078535,0.122657524268379,0.3,0.95,"17102","4.02658833158913","#083674","16524","4.65286617190865","#083471","2","1.29143114364593","#2878B8"
26,-0.351470475052391,0.126384719641264,0.3,0.95,"16908","4.07318336590447","#083674","14065","5.22797145434602","#083674","3","0.239781206596079","#083A7B"
2293,-0.5471149662199,0.131778010129979,0.3,0.95,"16697","4.10970571274876","#00491D","2021","8.01464919541183","#ABDDA5","3","1.27464085005191e-05","#00441B"
