"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,2.63212222242513,6.90586700737546,36592,2.63212222242513,"#00441B",1
491,1.36640738734107,4.31303339848647,24516,2.9308454874941,"#00461B",2
15,0.78188419528242,3.87266392748355,22465,3.13235754962588,"#00481C",3
462,2.25591414100353,3.02864033386458,18534,4.48575916533243,"#004A1D",4
328,1.76861911447795,2.59707395808892,16524,4.65765081491483,"#004D1E",5
497,2.27427389776257,2.80276579291135,17482,4.69124304829552,"#004F1F",6
96,1.48616799249831,2.3284721988375,15273,4.81261244389746,"#005120",7
319,3.40248401181687,3.4286443926059,20397,4.8649742613229,"#005321",8
374,0.787121525130179,2.10259765788427,14221,4.86733569204804,"#005622",9
937,0.14208723458517,2.01263431885442,13802,4.89529518274873,"#005823",10
26,0.996175983581545,2.06910295409273,14065,4.93828442856349,"#005A24",11
1189,-0.147552027226569,1.90120001585563,13283,5.00684164885877,"#08306B",12
102,0.56410268485691,1.88015847116607,13185,5.05726785230827,"#005C25",13
63,1.51489670326509,2.01241960921473,13801,5.12257156710664,"#005F26",14
86,1.14976471172408,1.79942764664286,12809,5.23427949551465,"#006127",15
95,2.28270453823156,2.15928100276227,14485,5.26695535466675,"#006328",16
273,0.757719948602636,1.6469838024634,12099,5.31319038652075,"#006529",17
398,2.34418980242569,2.06029985886547,14024,5.38281959761944,"#006829",18
74,1.69728484280364,1.73029114266288,12487,5.44677531838852,"#006A2A",19
1242,1.72053205199357,1.71418791968618,12412,5.46934751972184,"#006C2B",20
381,0.217020040408052,1.1759108529849,9905,5.7340644598031,"#016E2D",21
399,2.96476085610179,1.96539819812276,13582,5.76177394463478,"#036F2E",22
139,1.56318427766462,1.33114592248032,10628,5.78973749493985,"#04712F",23
25,1.38601778092234,1.27510670652139,10367,5.79883668115486,"#067230",24
329,2.48115139691018,1.63517477228049,12044,5.82548786725024,"#087432",25
271,0.290166729548284,1.06190003430983,9374,5.85116626949009,"#0A7533",26
1460,0.301360226450786,1.06018235719232,9366,5.85344744705829,"#0C7734",27
306,0.660694678554452,1.04880274628878,9313,5.89421065256146,"#0D7835",28
167,2.09381805584788,1.39469997582838,10924,5.89550982533369,"#0F7A37",29
143,1.8589642304128,1.30409250787946,10502,5.90217125752531,"#117C38",30
487,2.70448485445248,1.63410122408204,12039,5.92501078495779,"#137D39",31
119,1.65075660525652,1.20489665434296,10040,5.93515461769561,"#157F3B",32
152,2.76361713206905,1.61177142155434,11935,5.97202040556428,"#16803C",33
386,2.27466020258879,1.37752320465323,10844,5.97801507511804,"#18823D",34
1239,1.68050980416412,1.15980763000819,9830,5.9867613590423,"#1A833E",35
389,2.6652436278086,1.52803466207548,11545,6.00205001059879,"#1C8540",36
588,2.62475916885304,1.49883415107773,11409,6.01043800430229,"#1E8641",37
44,0.965595069206035,0.961845342214582,8908,6.02194050066728,"#1F8842",38
385,2.15767179816086,1.25449458111121,10271,6.04926093741364,"#218944",39
1192,1.80917541270153,1.123306991261,9660,6.05896988058939,"#238B45",40
106,2.42195875027601,1.3476785647364,10705,6.06294837120727,"#248C46",41
358,0.743789363811848,0.832375429481884,8305,6.11886611754693,"#268E47",42
68,1.35580180878711,0.938871410767818,8801,6.11908775837096,"#278F48",43
267,0.665377033290651,0.808972078755741,8196,6.13309500717701,"#289149",44
1231,0.588526995332728,0.796089500374378,8136,6.13805712007405,"#2A924A",45
330,2.21051770416728,1.17934620721993,9921,6.1383571902465,"#2B944C",46
617,0.819196466657301,0.810045626954188,8201,6.15061957472456,"#2D954D",47
266,0.546661184931939,0.734897253062904,7851,6.19513568533826,"#2E974E",48
51,0.24858113428965,0.694102421521921,7661,6.21673643082839,"#2F984F",49
1195,3.52551477106121,1.75584158978592,12606,6.24115503755427,"#319A50",50
630,1.66103377235472,0.879826259853237,8526,6.25077597452517,"#329B51",51
35,-0.0229990839521674,0.610150952403372,7270,6.29575806418067,"#083D7E",52
144,1.97106796544818,0.904303158777827,8640,6.31695160288648,"#349D52",53
332,3.37263682527281,1.55186743208101,11656,6.32771606564639,"#359E53",54
614,0.795636209843315,0.605856759609585,7250,6.35005244863134,"#37A055",55
627,1.06578020260172,0.611224500601819,7275,6.38423149081699,"#38A156",56
27,1.48563370414961,0.65631352493659,7485,6.42370813726535,"#39A357",57
75,1.13926731667034,0.565276637708291,7061,6.44212823954547,"#3BA458",58
1225,1.21902632128145,0.577729796810275,7119,6.44448180443678,"#3CA659",59
34,0.595955131511515,0.47874865291347,6658,6.45468921490703,"#3EA75A",60
1241,2.44681042185803,0.908382641931925,8659,6.47739916588848,"#3FA95B",61
64,1.50613667189473,0.596194825823562,7205,6.48694155308,"#40AA5C",62
1216,-0.272962831340915,0.402526730823739,6303,6.50906625100048,"#084A91",63
420,2.61346089414338,0.913106254005092,8681,6.53784056798213,"#43AB5D",64
418,3.39195961272103,1.31311031274641,10544,6.54097221058526,"#45AD5F",65
1240,1.63596274038764,0.568926701583011,7078,6.54470675638821,"#47AE60",66
65,1.56603573193341,0.512672775984393,6816,6.58220330846626,"#49AF61",67
525,0.488153337829013,0.314281068911403,5892,6.60963681796441,"#4BB062",68
337,2.93189655296245,0.969789598883089,8945,6.62065196161878,"#4DB163",69
62,1.69565254388718,0.455774721466706,6551,6.66925243534316,"#50B264",70
1232,1.02254777295532,0.302042619449108,5835,6.68252201601661,"#52B365",71
46,0.0872074943436136,0.217447021411491,5441,6.68898849271786,"#54B466",72
1190,1.65382019673525,0.424212404432367,6404,6.68931742668733,"#56B567",73
355,2.22019958670022,0.580521022126237,7132,6.70367720269199,"#58B668",74
72,1.58869310700402,0.383202863251695,6213,6.71335186961624,"#5AB769",75
382,2.12584124925879,0.535431997791467,6922,6.71577569818882,"#5DB86A",76
1469,0.852607587293683,0.236770888983535,5531,6.7233758435968,"#5FB96B",77
375,1.16003590178265,0.276277462686382,5715,6.73031506130845,"#61BA6C",78
390,2.10781242191915,0.500004907242719,6757,6.74373356916728,"#63BB6D",79
43,1.07566514997368,0.239562114299497,5544,6.75253111376145,"#65BC6E",80
71,1.33716162986321,0.272627398811662,5698,6.76667340197516,"#67BE70",81
339,1.94033146001301,0.406820923617527,6323,6.78251326379282,"#6ABF71",82
587,2.78327786817743,0.6945318408013,7663,6.80641757777226,"#6CC072",83
78,1.85683257988126,0.344340418467916,6032,6.81919778321828,"#6EC173",84
100,2.44952693452469,0.539726190585255,6942,6.82113854881751,"#70C274",85
38,0.987261134809644,0.147881098152131,5117,6.82971874220064,"#72C375",86
1291,1.73846148111401,0.295171910979048,5803,6.83546179704317,"#74C476",87
137,1.58072219209811,0.242997468534527,5560,6.84781082830169,"#76C577",88
347,2.94494383778557,0.714285127652723,7755,6.8562657752615,"#78C579",89
50,0.799704524740462,0.0937742689504063,4865,6.8588727064871,"#79C67A",90
1205,2.18737763798009,0.395656022353679,6271,6.86785759903579,"#7BC77C",91
423,2.49499052021143,0.493778327691727,6728,6.88039671327702,"#7DC87D",92
1204,1.68203017202716,0.232047276910369,5509,6.88252099846814,"#7EC97E",93
196,2.20354747741603,0.383846992170763,6216,6.88421139739021,"#80C980",94
612,2.16450760799105,0.351640546217355,6066,6.90238927395407,"#82CA81",95
40,0.61902831117932,0.024637764970425,4543,6.90901671271475,"#83CB83",96
493,1.01574593347461,0.0564147916444537,4691,6.9243581259892,"#85CC84",97
618,1.27993687100796,0.0969949135457471,4880,6.92812944335617,"#87CC85",98
912,-0.753995784441737,0.0139022829859559,4493,6.93308642706733,"#0C56A0",99
1301,1.50108021263289,0.125766005264124,5014,6.94427904131085,"#88CD87",100
302,2.38074035587166,0.374829187303809,6174,6.95143004347179,"#8ACE88",101
472,2.47092177339048,0.408109181455663,6329,6.95171282307584,"#8CCF89",102
103,2.97691787849918,0.621745272946599,7324,6.95357649188166,"#8DD08B",103
336,3.50177384204346,0.896144192469631,8602,6.95551495957125,"#8FD08C",104
308,3.00090936398461,0.621101144027531,7321,6.9644625756733,"#91D18E",105
695,2.61537255285329,0.44740104551882,6512,6.96792337577554,"#93D28F",106
82,0.998238189295219,0.00166383352366103,4436,6.97599462072561,"#94D390",107
118,1.71065813678772,0.136930906527972,5066,6.98175101234027,"#96D492",108
1238,1.95363292580491,0.18996418753125,5313,6.99428568864473,"#98D493",109
936,-0.366688762428021,-0.0977467296525233,3973,7.0132065437985,"#1562A9",110
363,1.7611539307091,0.115030523279655,4964,7.01549166640363,"#99D595",111
620,1.18513175962074,-0.00950106774018689,4384,7.01618506754137,"#9BD696",112
454,3.31085428388656,0.696678937198194,7673,7.03674445890723,"#9DD797",113
39,1.31377874595046,-0.0550195113543361,4172,7.08378117391732,"#9ED799",114
902,-0.184771252538543,-0.175686328859769,3610,7.08396344356102,"#1E6EB2",115
905,0.0138464131027511,-0.180195231293246,3589,7.0860757668432,"#A0D89A",116
110,2.62889968568499,0.323298873778357,5934,7.08811094656698,"#A1D99B",117
73,1.85372035374489,0.0512617602919085,4667,7.100837432531,"#A3D99C",118
1233,2.56230229690809,0.277351010884829,5720,7.1065193573558,"#A4DA9E",119
629,1.66420074023158,-0.0165864858499365,4351,7.11968584065728,"#A5DA9F",120
272,0.76183462843235,-0.180839360212315,3586,7.12753808418361,"#A6DBA0",121
477,2.41503971235748,0.17600806095144,5248,7.1500642130702,"#A7DBA1",122
376,1.76216173803363,-0.0241013232390649,4316,7.15050173444563,"#A9DCA2",123
1224,0.736264022425429,-0.228075480943979,3366,7.17183520009819,"#AADCA3",124
954,0.460966737530075,-0.259423088338629,3220,7.18010254027389,"#ABDDA5",125
1193,0.483309359548872,-0.260281926897386,3216,7.18242845319098,"#ACDDA6",126
926,-0.323935896339591,-0.284973535461665,3101,7.19813324254612,"#2979B9",127
333,2.38571066507401,0.107300976250837,4928,7.20500627737475,"#ADDEA7",128
67,1.21539681355654,-0.196727873549329,3512,7.20583398760632,"#AFDEA8",129
949,0.157597547566495,-0.303438564474952,3015,7.21102793055972,"#B0DFA9",130
633,1.37441898002805,-0.185562972285481,3564,7.22339301776494,"#B1DFAA",131
528,1.25824205739786,-0.222278320672365,3393,7.23834434748547,"#B2E0AC",132
380,3.52212385604349,0.582023989604063,7139,7.23853210055234,"#B3E0AD",133
925,-0.335839476840859,-0.325983076642337,2910,7.23964389952386,"#3484BF",134
94,2.07883565376802,-0.0462164161270714,4213,7.25624018364303,"#B5E1AE",135
371,1.33520437091341,-0.231940254458388,3348,7.26161574439148,"#B6E1AF",136
944,0.242851122893825,-0.351962943044753,2789,7.26189178224982,"#B7E2B0",137
895,0.365201562912432,-0.34960113700817,2800,7.2646534793973,"#B8E2B1",138
473,2.5447698483797,0.100215558141088,4895,7.26586163023274,"#B9E3B3",139
868,-0.134901136760948,-0.361195457551396,2746,7.26831446663174,"#4090C5",140
388,3.34480561929736,0.445039239482237,6501,7.27530206089502,"#BBE3B4",141
625,-0.0150081209144377,-0.369998552778661,2705,7.27588103896224,"#4C99CA",142
1468,1.38571119278531,-0.261784894375212,3209,7.30037186001374,"#BCE4B5",143
492,-0.0379428802358359,-0.410793384319644,2515,7.31675877349804,"#59A1CF",144
97,1.54356874426589,-0.247828767795402,3274,7.31833093758215,"#BDE4B6",145
287,-0.430751425514148,-0.417019963870636,2486,7.3355449957197,"#65AAD3",146
365,0.580006968314511,-0.424964220539143,2449,7.35374017595545,"#BEE5B7",147
397,2.83902197457683,0.121686522110026,4995,7.35426071259283,"#BFE5B8",148
479,2.39739582923009,-0.0509400282002378,4191,7.35830625159386,"#C1E6BA",149
621,1.92830148984989,-0.195654325350882,3517,7.3586650878352,"#C2E6BB",150
45,0.870256338963306,-0.405425643327409,2540,7.36290338927027,"#C3E7BC",151
1230,0.326852332940814,-0.452447054419384,2321,7.36556978648336,"#C4E7BD",152
117,2.42405686102407,-0.06060196198626,4146,7.37616035390755,"#C5E8BE",153
911,-0.52208324675849,-0.46769143883733,2250,7.39201833576337,"#72B2D7",154
907,-0.495833218690099,-0.477782791902731,2203,7.4002793825056,"#80B9DA",155
58,0.956079429499752,-0.43290847720765,2412,7.40079140961496,"#C7E9C0",156
362,0.970057656334973,-0.435270283244233,2401,7.40495162552337,"#C7E9C0",157
603,2.02964342316853,-0.216910579680131,3418,7.40630899840621,"#C8E9C1",158
112,2.33962414041497,-0.125229563532764,3845,7.410139007323,"#C9E9C2",159
19,0.578055737631099,-0.483365242534655,2177,7.41180825972447,"#C9EAC3",160
98,2.54641173177873,-0.0601725427068813,4148,7.41686724439987,"#CAEAC3",161
946,-0.152408486533238,-0.50955981857676,2055,7.41699287837188,"#8EC1DD",162
1330,1.2819191997178,-0.402419708371758,2554,7.41986331101675,"#CBEAC4",163
1196,0.130184548147869,-0.524589493355017,1985,7.43159685571172,"#CCEBC5",164
609,2.32467964430723,-0.160656654081513,3680,7.4390787135631,"#CCEBC6",165
955,0.801239681670764,-0.490665370284094,2143,7.439803508242,"#CDEBC6",166
893,-0.208493115382114,-0.532104330744145,1950,7.44089289036272,"#9CC9E0",167
628,0.79959180450512,-0.495174272717571,2122,7.4441090187794,"#CEEBC7",168
113,2.06091852002282,-0.249975864192296,3264,7.44670882663879,"#CEECC8",169
927,-0.436596488803657,-0.536183813898243,1931,7.4548465390279,"#A6CDE3",170
501,1.46860109679965,-0.403063837290826,2551,7.4550157125009,"#CFECC9",171
392,2.62242143787494,-0.0747727982057593,4080,7.4569716569859,"#D0ECCA",172
460,2.8398885518726,0.00617273595713807,4457,7.46128326939139,"#D1EDCA",173
872,-0.0457789767515007,-0.559801874264075,1821,7.46580923711511,"#AFD1E7",174
1243,1.20278300125749,-0.463611955683232,2269,7.46698782207917,"#D1EDCB",175
947,-0.299708561399336,-0.577622774358294,1738,7.48948893684272,"#B8D5EA",176
395,2.28310475891281,-0.233657931575903,3340,7.4956910084447,"#D2EDCC",177
1201,1.51058501068942,-0.43977918567771,2380,7.49935897714172,"#D3EDCD",178
120,2.68437040951705,-0.100108535689107,3962,7.5026353906817,"#D4EECD",179
303,3.2922358221665,0.150242904188714,5128,7.51513630829901,"#D4EECE",180
277,0.361110868626449,-0.604032060040088,1615,7.51857599962979,"#D5EECF",181
387,2.81010968486149,-0.079066990999547,4060,7.52901184768675,"#D6EFD0",182
901,-0.377466831082925,-0.625073604729648,1517,7.54039440026991,"#C1D9ED",183
1290,1.82378506224622,-0.416805254230946,2487,7.54637137995291,"#D6EFD1",184
352,2.45181524217781,-0.232369673737766,3346,7.54757052947277,"#D7EFD1",185
283,2.0433811554571,-0.365489650345184,2726,7.5530149073238,"#D8EFD2",186
918,2.46367937222435,-0.240099220766584,3310,7.55873993353855,"#D9F0D3",187
935,-0.533622727448665,-0.647188697617654,1414,7.57188244084513,"#C8DCEF",188
1191,-0.255749164693497,-0.662862501314979,1341,7.57304918846846,"#CCDFF1",189
47,0.578016925373564,-0.645685730139829,1421,7.5736419451604,"#D9F0D4",190
707,2.23556279822251,-0.34595107313345,2817,7.5885839586574,"#DAF0D4",191
