"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,0.45929964554292,7.50211037810325,36.592,0.45929964554292,"#00441B",1
15,-1.3562186845821,5.22560139120145,26.775,2.64987212669861,"#08306B",2
491,-0.750420254971559,4.02763404615362,21.609,3.5545908822746,"#08306C",3
937,-1.9978167786191,4.42788407278013,23.335,3.6663523094859,"#08316D",4
319,1.22087740461532,3.90704887011318,21.089,3.79671027118636,"#00471C",5
497,0.089715055773837,3.42980984647624,19.031,4.07328864814687,"#004A1D",6
462,0.0878040161130561,3.3145582455299,18.534,4.18847256267308,"#004D1E",7
588,0.493968280498649,3.19049465094984,17.999,4.33981967837091,"#005020",8
77,-0.438222594828117,3.0724603151718,17.49,4.45127383146066,"#08326F",9
68,-0.806712154963968,3.05530011704297,17.416,4.51939221564555,"#083370",10
328,-0.342916779279201,2.98248522228009,17.102,4.53261552160126,"#083472",11
399,0.800346019664725,2.96973102096812,17.047,4.60250110137714,"#005321",12
26,-1.14202899031835,2.93749767583424,16.908,4.70530757086539,"#083573",13
1242,-0.431287436049087,2.76450432713008,16.162,4.75719664789163,"#083674",14
96,-0.708248361190713,2.6290778986539,15.578,4.92423205047219,"#083776",15
159,-0.809223290916208,2.63046926606975,15.584,4.93839340869236,"#083877",16
63,-0.613021340753617,2.47602748291027,14.918,5.06332938229094,"#083979",17
273,-1.36854398031863,2.61099012224784,15.5,5.07897331980642,"#083A7A",18
95,0.0880713447312657,2.37561713439968,14.485,5.12724970520269,"#005622",19
474,0.120826207589697,2.34500705125096,14.353,5.15851855635622,"#005923",20
397,0.630359962797552,2.30164276679026,14.166,5.23853195647535,"#005C25",21
724,0.461872333365746,2.23277007970563,13.869,5.28954376412993,"#005F26",22
25,-0.708729079414777,2.24366912446313,13.916,5.30598730925662,"#083B7B",23
329,0.252303187435915,2.19566694861627,13.709,5.31243811905003,"#006227",24
119,-0.508316809184221,2.18894200610632,13.68,5.33742860633168,"#083C7D",25
374,-1.39977760074646,2.32042622690425,14.247,5.36742284288636,"#083D7E",26
74,-0.414630838399364,2.13792520085844,13.46,5.38018599566266,"#083E80",27
152,0.674989677536048,2.06093620384801,13.128,5.48288130998313,"#006528",28
86,-1.08230227983128,2.11357627108105,13.355,5.496151203112,"#083F81",29
932,-2.5285713588784,2.62049779958949,15.541,5.49761898312751,"#084082",30
102,-1.60260053860884,2.20795736078962,13.762,5.53139988222514,"#084184",31
587,0.569456236351883,1.99322298960992,12.836,5.53824165816379,"#00682A",32
385,0.014549419000815,1.95356901825817,12.665,5.54856043559992,"#006B2B",33
302,0.183817566688851,1.95217765084232,12.659,5.55297597464147,"#016E2C",34
487,0.521636984295933,1.93107524503524,12.568,5.59540325600072,"#03702E",35
58,-1.16997069040702,2.02383307275865,12.968,5.60181699546363,"#084285",36
482,0.182734546565268,1.89258074653002,12.402,5.6125051983946,"#067230",37
1241,0.295022356251815,1.8837687528963,12.364,5.62608218996322,"#087432",38
389,0.490205290820385,1.85965171768821,12.26,5.66371264822297,"#0A7633",39
163,-0.182898118860311,1.81907016805922,12.085,5.6859825668797,"#084287",40
398,0.209306543634612,1.79843155139076,11.996,5.70751797084306,"#0D7835",41
