WADOE_ID	AWM_Imperv_SQ	AWM_Imperv_MG	AWM_Imperv_UG
6	0.2462022093	0.2462022093	0.2462022093
10	0.4054192520	0.4054192520	0.4054192520
13	0.2246572964	0.2246572964	0.2246572964
15	2.9858460797	1.4414511889	6.2576298750
19	0.6593071156	0.6730679940	1.9939319770
25	16.8811492326	3.2761445648	11.2946305711
26	12.0091392532	8.1546010196	19.9935262748
27	12.4370086025	4.4788920594	23.0078766015
28	0.9497987901	0.5763477015	2.2904416667
30	10.2071454838	7.3179417594	31.9906193720
31	19.5944872031	8.0828099675	13.0039898575
34	0.3988343163	0.3988343163	0.3988343163
35	0.4258766421	0.4258766421	0.4258766421
37	0.9991288558	0.5018540557	2.2284930500
38	4.2735237652	1.7383907957	16.6692442969
39	12.6467316592	6.5473288567	32.5190903986
40	11.0248847663	7.9458192208	30.6209324939
43	8.7594783185	4.7984803395	9.5465416513
44	6.8770915655	2.5472386039	9.8738456840
45	35.9416994499	3.3846332505	42.7864483335
46	4.5827692115	4.0166851145	6.2709589610
47	11.2467885657	8.2233677651	12.0363404758
48	13.0810653569	12.7845073156	21.6278416327
49	7.8598720696	6.7620812243	11.3243447281
50	4.0616943715	2.7285472496	6.1177421676
51	8.0665757039	6.7534186974	14.9686712387
52	13.3617651460	4.4112214979	21.5676000197
58	10.6084231571	8.9108021846	17.3695496687
61	13.6997831255	5.4094778070	15.3933882805
62	13.7386639352	2.3329462548	7.8573194558
63	12.3044156215	5.2420785308	22.7785380861
64	8.8254763044	5.8332721326	14.3951388032
65	10.4295882646	6.0138903456	13.7586856541
67	24.8950088129	22.5325860332	41.3823457353
68	12.9189749788	7.7577103242	21.8862908014
69	14.7034193917	12.1720534345	23.3298116218
70	4.5558196544	6.3060539501	8.9840488090
71	17.6135039742	8.6880764835	25.8681706406
72	23.1032319151	7.9162532319	41.7153732774
73	12.8807899178	7.8751547630	20.7519690354
74	15.5539549577	14.8058096026	32.1339760486
75	13.6246400548	12.9612972126	33.4705783949
76	19.3824903856	8.3987538389	14.7648588235
77	25.5595056757	0.2188754054	8.3468156757
78	19.9968426820	16.2574902194	12.5043616882
80	0.2673704898	0.2673704898	0.2673704898
88	17.2254803294	11.8571926924	30.2391226101
89	20.3885420376	25.8469953349	19.2483697602
90	14.9720965201	24.5092125094	34.8151108910
92	16.6743759029	36.7344256434	22.0524654878
93	13.6928409734	11.7299290408	12.6037300732
94	2.8294550333	2.7724833467	2.7999557563
95	12.7075139483	10.0448108280	22.8520141458
96	20.5901252188	18.4200836373	28.6039302567
97	27.6680625087	21.4600320302	37.9378089595
98	25.9184897418	22.7421497263	37.1092721415
99	22.9621553875	26.4650797379	21.7879795112
100	16.6279909413	27.2869014694	28.8010634320
101	17.0797388208	27.8619127011	27.9447292274
102	18.1587081699	16.3723675796	46.7671429773
103	29.6502122505	33.3754654756	35.8964456490
104	20.2015701324	16.6804753777	46.5219286950
105	11.6383331686	13.7615772876	28.8515345241
106	16.3775024601	17.1817628213	26.3664326551
107	26.8733469785	26.8241324295	12.0859457792
108	24.1409753260	30.7131539185	29.9069150393
109	13.1373297844	19.4837419393	27.2940096321
110	20.8336729080	11.9421737490	31.5666619177
111	16.4541312193	13.2522735357	18.4320110868
112	12.5043887865	16.5051500250	19.5291456357
113	24.7313054523	24.5900689299	25.0232111429
