Model.catch	CentroidX	CentroidY	Catch.Area.ft2	Catch.Area.ha	2b.Ecoreg	2d.Ecoreg	2e.Ecoreg	2f.Ecoreg	2g.Ecoreg	4a.Ecoreg	4b.Ecoreg	4d.Ecoreg	77a.Ecoreg	77b.Ecoreg	77c.Ecoreg	Impervious	conifer.forest	dense.urban	grass.shrub.crops	light.med.urb	mix.deciduous	regrow.veg	Agriculture	Apt.condo	Commercial	Forest.timber	Industrial	Parks.open.space	Residential	FC00.Road	FC01.Road	FC02.Road	FC07.Road	FC08.Road	FC11.Road	FC12.Road	FC14.Road	FC06.FC16.Road	FC17.Road
2	1421408	470700	234106224	2175	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.92182607	0.07817393	0.00000000	0.97822848	0.44614627	0.00258695	0.06795877	0.01075843	0.44052068	0.00640578	0.00000000	0.03343134	0.01791521	0.16129333	0.00000000	0.31549320	0.11263726	0.00862900	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00191926	0.00000000
9	1398546	475403	25544364	237	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.94512606	0.05487394	0.00000000	0.00000000	0.74639879	0.00000000	0.00037908	0.00000000	0.25322214	0.00000000	0.00000000	0.00000000	0.00000000	0.11685638	0.00000000	0.17897373	0.00000000	0.00127277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
10	1414337	475478	42979100	399	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.72635703	0.27364297	0.00000000	0.00878972	0.58814283	0.00000000	0.01549517	0.00000000	0.35167303	0.00673703	0.00000000	0.00000000	0.00000000	0.13817148	0.00000000	0.24420279	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
14	1402358	475219	33997920	316	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.88672599	0.11327401	0.00000000	0.00000000	0.71075541	0.00000000	0.00477394	0.00000000	0.28418983	0.00000000	0.00000000	0.00000000	0.00000000	0.10768882	0.00000000	0.28311585	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17	1411319	475530	14639329	136	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.71036094	0.28963906	0.00000000	0.00000000	0.54924984	0.00000000	0.06523157	0.00065232	0.25636008	0.01761252	0.00000000	0.00000000	0.00000000	0.06769033	0.00000000	0.32023654	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
20	1404812	474972	17804388	165	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.85229949	0.14770051	0.00000000	0.00000000	0.53177621	0.00000000	0.00271592	0.00000000	0.45573058	0.00271592	0.00000000	0.00000000	0.00000000	0.18523012	0.00000000	0.41398744	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
22	1408348	474611	25347650	235	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.86034960	0.13965040	0.00000000	0.00000000	0.56800000	0.00000000	0.01561905	0.00000000	0.38019048	0.00533333	0.00000000	0.00000000	0.00000000	0.03129403	0.00000000	0.47217312	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
24	1432237	470142	38798120	360	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	1.09852831	0.37667494	0.00446650	0.04640199	0.01066998	0.56004963	0.00148883	0.00000000	0.09455639	0.00700676	0.41537605	0.00000000	0.12330213	0.10702642	0.01560400	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00095675	0.00000000
25	1411013	473179	13438303	125	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.92646179	0.07353821	0.00000000	0.29899135	0.50493653	0.02609309	0.02327221	0.01198872	0.39844852	0.00141044	0.00000000	0.00000000	0.00000000	0.24565185	0.00227797	0.42114350	0.00993131	0.00116979	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00147526	0.00000000
31	1299658	467993	64802400	602	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.25780900	0.33121019	0.00266627	0.15286624	0.00859132	0.47889202	0.00000000	0.00000000	0.06897214	0.02268876	0.46002896	0.00000000	0.23187654	0.15460836	0.01961630	0.00000000	0.00000000	0.00000000	0.00329732	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
