"Model.catch"	"CentroidX"	"CentroidY"	"Catch.Area.ft2"	"Catch.Area.ha"	"X2b.Ecoreg"	"X2d.Ecoreg"	"X2e.Ecoreg"	"X2f.Ecoreg"	"X2g.Ecoreg"	"X4a.Ecoreg"	"X4b.Ecoreg"	"X4d.Ecoreg"	"X77a.Ecoreg"	"X77b.Ecoreg"	"X77c.Ecoreg"	"Impervious"	"conifer.forest"	"dense.urban"	"grass.shrub.crops"	"light.med.urb"	"mix.deciduous"	"regrow.veg"	"Agriculture"	"Apt.condo"	"Commercial"	"Forest.timber"	"Industrial"	"Parks.open.space"	"Residential"	"FC00.Road"	"FC01.Road"	"FC02.Road"	"FC07.Road"	"FC08.Road"	"FC11.Road"	"FC12.Road"	"FC14.Road"	"FC06.FC16.Road"	"FC17.Road"
"9"	1398546	475403	25544364	237	0	0	0	0	0	0	0	0	0.94512606	0.05487394	0	0	0.74639879	0	0.00037908	0	0.25322214	0	0	0	0	0.11685638	0	0.17897373	0	0.00127277	0	0	0	0	0	0	0	0	0
"10"	1414337	475478	42979100	399	0	0	0	0	0	0	0	0	0.72635703	0.27364297	0	0.00878972	0.58814283	0	0.01549517	0	0.35167303	0.00673703	0	0	0	0.13817148	0	0.24420279	0	0	0	0	0	0	0	0	0	0	0
"14"	1402358	475219	33997920	316	0	0	0	0	0	0	0	0	0.88672599	0.11327401	0	0	0.71075541	0	0.00477394	0	0.28418983	0	0	0	0	0.10768882	0	0.28311585	0	0	0	0	0	0	0	0	0	0	0
"17"	1411319	475530	14639329	136	0	0	0	0	0	0	0	0	0.71036094	0.28963906	0	0	0.54924984	0	0.06523157	0.00065232	0.25636008	0.01761252	0	0	0	0.06769033	0	0.32023654	0	0	0	0	0	0	0	0	0	0	0
"20"	1404812	474972	17804388	165	0	0	0	0	0	0	0	0	0.85229949	0.14770051	0	0	0.53177621	0	0.00271592	0	0.45573058	0.00271592	0	0	0	0.18523012	0	0.41398744	0	0	0	0	0	0	0	0	0	0	0
"22"	1408348	474611	25347650	235	0	0	0	0	0	0	0	0	0.8603496	0.1396504	0	0	0.568	0	0.01561905	0	0.38019048	0.00533333	0	0	0	0.03129403	0	0.47217312	0	0	0	0	0	0	0	0	0	0	0
"24"	1432237	470142	38798120	360	0	0	0	0	0	0	0	0	1	0	0	1.09852831	0.37667494	0.0044665	0.04640199	0.01066998	0.56004963	0.00148883	0	0.09455639	0.00700676	0.41537605	0	0.12330213	0.10702642	0.015604	0	0	0	0	0	0	0	0.00095675	0
"25"	1411013	473179	13438303	125	0	0	0	0	0	0	0	0	0.92646179	0.07353821	0	0.29899135	0.50493653	0.02609309	0.02327221	0.01198872	0.39844852	0.00141044	0	0	0	0.24565185	0.00227797	0.4211435	0.00993131	0.00116979	0	0	0	0	0	0	0	0.00147526	0
"31"	1299658	467993	64802400	602	0	0	1	0	0	0	0	0	0	0	0	2.257809	0.33121019	0.00266627	0.15286624	0.00859132	0.47889202	0	0	0.06897214	0.02268876	0.46002896	0	0.23187654	0.15460836	0.0196163	0	0	0	0.00329732	0	0	0	0	0
"33"	1270203	475342	11302816	105	1	0	0	0	0	0	0	0	0	0	0	4.25404945	0.14213625	0.0058873	0.11606392	0.06139613	0.41211102	0	0	0.12792547	0.00115538	0	0	0.38323175	0.33721862	0.01280407	0	0	0.00665551	0	0	0	0	0	0
"37"	1293236	474735	14896122	138	0	0	1	0	0	0	0	0	0	0	0	2.56753247	0.45583495	0.00193424	0.11283043	0.00580271	0.41199226	0	0	0.05463207	0	0.41066896	0	0.28621429	0.15925769	0.02114946	0	0	0	0	0	0	0	0	0
"42"	1268288	475657	3774237	35	1	0	0	0	0	0	0	0	0	0	0	0.13367609	0	0	0.0610687	0.01017812	0.42748092	0	0	0	0	0	0	0.63931866	0.23169612	0.00416084	0	0	0	0	0	0	0	0	0
"45"	1441308	467082	169746384	1577	0	0	0	0	0	0	0	0	1	0	0	1.14950071	0.2929745	0.00470255	0.07688385	0.01852691	0.58487252	0.00832861	0	0.0229579	0.01477181	0.63006103	0.00658633	0.23302041	0.03845122	0.01129324	0	0	0	0	0	0	0	0.0028217	0
"48"	1304093	467995	51098664	475	0	0	1	0	0	0	0	0	0	0	0	4.76380194	0.19687559	0.00395257	0.30886505	0.02013928	0.36683606	0	0	0.07075142	0.00810021	0.30363404	0	0.1871665	0.41047138	0.02330358	0	0	0	0.00427487	0	0	0	0	0
"49"	1477292	468487	71324688	663	0	0	0	0	0	0	0	0	0.17116429	0.82883571	0	0.35279739	0.47164704	0	0.01691704	0.00094735	0.48030857	0.00108269	0	0.00295561	0	0.06315106	0	0.8467407	0.00123531	0.00639512	0	0	0	0	0	0	0	0	0
"51"	1368429	467302	58104988	540	0	0	0	0	0	0	0	0	1	0	0	0.92640693	0.33129746	0.00429185	0.08732255	0.00924397	0.45609112	0.01205018	0	0.01647242	0.01449922	0.65195403	0.00504439	0.19395034	0.06648384	0.00787836	0	0	0	0	0	0	0	0.00294092	0
"52"	1361741	467472	97581528	907	0	0	0	0	0	0	0	0	1	0	0	1.02214718	0.36286252	0.00910621	0.11481738	0.00831436	0.41809364	0.0157379	0.00238653	0.01794213	0	0.58328963	0.00050691	0.31231042	0.04823154	0.005796	0	0	0	0	0	0	0	0.00324009	0
"54"	1348906	474021	6048963	56	0	0	0	0	0	0	0	0	1	0	0	0	0.48148148	0	0	0	0.51851852	0	0	0	0	0.73777092	0	0.26222908	0	0	0	0	0	0	0	0	0	0	0
"55"	1338678	466758	70521408	655	0.0702428	0	0.45379642	0	0	0	0	0	0.47596078	0	0	0.63793814	0.55714871	0	0.06158678	0.00286768	0.30725113	0.02171241	0	0.04491816	0	0.72947981	0	0.09887443	0.11639637	0.01390508	0	0	0	0	0	0	0	0	0
"56"	1342265	471411	33401340	310	0	0	0	0	0	0	0	0	1	0	0	0.0799305	0.65590778	0.00057637	0.03804035	0.00461095	0.25763689	0.01786744	0	0	0	0.85970611	0	0.1397661	0	0.00445243	0	0	0	0	0	0	0	0	0
"57"	1328031	466881	26884244	250	0.01284669	0	0.98715331	0	0	0	0	0	0	0	0	0.82811938	0.53612303	0.00071531	0.05722461	0.00572246	0.38590844	0.00429185	0	0.11083946	0.00285974	0.64494605	0	0.05123008	0.18085775	0.01170433	0	0	0	0.00247405	0	0	0	0	0
"58"	1268302	473444	11919024	111	1	0	0	0	0	0	0	0	0	0	0	3.1191248	0.02652733	0.00723473	0.22106109	0.07877814	0.47508039	0	0.00315856	0.00155827	0	0	0	0.7337933	0.16915554	0.00385803	0	0	0.01053811	0	0	0	0	0	0
"59"	1470683	472691	12890307	120	0	0	0	0	0	0	0	0	1	0	0	0.96026987	0.05427509	0.00074349	0.15315985	0.01115242	0.7063197	0.02379182	0	0.16324258	0	0.24575512	0	0.28418291	0.09264287	0.01744807	0	0	0	0	0	0	0	0	0
"61"	1405963	472153	6087442	57	0	0	0	0	0	0	0	0	1	0	0	0	0.24525316	0.01424051	0.01265823	0.01265823	0.71518987	0	0	0	0	0.14374971	0	0.83363324	0	0	0	0	0	0	0	0	0	0	0
"63"	1282505	470644	31909852	296	0.524082	0	0.475918	0	0	0	0	0	0	0	0	4.49863263	0.1300813	0.0192713	0.19241192	0.0298103	0.58325805	0	0.01550646	0.18931379	0.03280673	0.20179226	0	0.22803685	0.27529266	0.01851742	0.01083894	0	0	0.00272092	0	0	0	0	0
"64"	1292526	471560	19636066	182	0	0	1	0	0	0	0	0	0	0	0	1.68395062	0.31990172	0	0.1031941	0.00933661	0.56216216	0	0	0.0702133	0.00726388	0.41315007	0	0.30663403	0.1817115	0.02140037	0	0	0	0	0	0	0	0	0
"65"	1407523	471189	4289631	40	0	0	0	0	0	0	0	0	1	0	0	0	0.25111111	0.00888889	0.29777778	0.01333333	0.39111111	0	0	0.06005062	0	0.05798774	0	0.79828102	0.04589742	0.0067078	0	0	0	0	0	0	0	0	0
