Model.catch	CentroidX	CentroidY	Catch.Area.ft2	Catch.Area.ha	X2b.Ecoreg	X2d.Ecoreg	X2e.Ecoreg	X2f.Ecoreg	X2g.Ecoreg	X4a.Ecoreg	X4b.Ecoreg	X4d.Ecoreg	X77a.Ecoreg	X77b.Ecoreg	X77c.Ecoreg	Impervious	conifer.forest	dense.urban	grass.shrub.crops	light.med.urb	mix.deciduous	regrow.veg	conifer.deciduous	Apt.condo	Commercial	Forest.timber	Industrial	Parks.open.space	Residential	FC00.Road	FC08.Road	FC11.Road	FC12.Road	FC14.Road	FC06.FC16.Road	FC17.Road	Nonlocal.Road
Des Moines	1277177	162987	163838160	"1,522"	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.48996628	0.01484306	0.45338809	0.05632150	0.21003227	0.16603109	0.00000000	0.18087416	0.07720232	0.12322909	0.00000000	0.33918603	0.12749171	0.18666197	0.05148690	0.00002213	0.00304210	0.00000000	0.01135185	0.00750782	0.00603282	0.02795672
Fauntleroy	1257612	193103	6509242	60	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.24746647	0.07680723	0.05271084	0.01656627	0.47891566	0.37349398	0.00000000	0.45030120	0.00898186	0.04850015	0.00000000	0.00031188	0.23542898	0.50673168	0.06441854	0.00000000	0.00000000	0.00000000	0.00000000	0.00322945	0.01033376	0.01356321
Fortson	1421722	464877	98466576	915	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.01792386	0.29335542	0.00584567	0.08719797	0.02513640	0.54355027	0.01052221	0.83690569	0.03602476	0.00833274	0.27263083	0.00018534	0.48489490	0.16359685	0.01299610	0.00000000	0.00000000	0.00000000	0.00000000	0.00534038	0.00000000	0.00534038
Longfellow	1261566	204683	75302792	700	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.42086035	0.03087282	0.30008893	0.10240122	0.32575276	0.21420404	0.00000000	0.24507686	0.05163941	0.14349078	0.00000000	0.06170440	0.19778929	0.32392663	0.06078622	0.00000000	0.00000000	0.00304584	0.01334749	0.01500462	0.00872892	0.04012688
Pipers	1263486	260372	69854856	649	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.41386864	0.03552325	0.20491016	0.01851598	0.55273625	0.18419970	0.00000000	0.21972295	0.05913849	0.04389813	0.00000000	0.06751946	0.04485414	0.54137787	0.08984910	0.00000000	0.00000000	0.00000000	0.00868527	0.01311950	0.01281382	0.03461858
Thornton	1277054	270103	305728256	"2,840"	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.42687538	0.06023149	0.22592313	0.03142102	0.50956155	0.15892936	0.00000000	0.21916085	0.04979203	0.15437648	0.00000000	0.01015073	0.05757188	0.49926128	0.07649405	0.00000000	0.01003135	0.00000000	0.01734059	0.01118037	0.00830114	0.04685345
2	"1,421,408"	"470,700"	"234,106,224"	"2,175"	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.92182607	0.07817393	0.00000000	0.00978228	0.44614627	0.00258695	0.06795877	0.01075843	0.44052068	0.00640578	0.88666694	0.03343134	0.01791521	0.16129333	0.00000000	0.31549320	0.11263726	0.00862900	0.00000000	0.00000000	0.00000000	0.00000000	0.00191926	0.00000000	0.00191926
9	"1,398,546"	"475,403"	"25,544,364"	237	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.94512606	0.05487394	0.00000000	0.00000000	0.74639879	0.00000000	0.00037908	0.00000000	0.25322214	0.00000000	0.99962092	0.00000000	0.00000000	0.11685638	0.00000000	0.17897373	0.00000000	0.00127277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
10	"1,414,337"	"475,478"	"42,979,100"	399	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.72635703	0.27364297	0.00000000	0.00008790	0.58814283	0.00000000	0.01549517	0.00000000	0.35167303	0.00673703	0.93981585	0.00000000	0.00000000	0.13817148	0.00000000	0.24420279	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
14	"1,402,358"	"475,219"	"33,997,920"	316	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.88672599	0.11327401	0.00000000	0.00000000	0.71075541	0.00000000	0.00477394	0.00000000	0.28418983	0.00000000	0.99494524	0.00000000	0.00000000	0.10768882	0.00000000	0.28311585	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17	"1,411,319"	"475,530"	"14,639,329"	136	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.71036094	0.28963906	0.00000000	0.00000000	0.54924984	0.00000000	0.06523157	0.00065232	0.25636008	0.01761252	0.80560992	0.00000000	0.00000000	0.06769033	0.00000000	0.32023654	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
20	"1,404,812"	"474,972"	"17,804,388"	165	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.85229949	0.14770051	0.00000000	0.00000000	0.53177621	0.00000000	0.00271592	0.00000000	0.45573058	0.00271592	0.98750679	0.00000000	0.00000000	0.18523012	0.00000000	0.41398744	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
22	"1,408,348"	"474,611"	"25,347,650"	235	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.86034960	0.13965040	0.00000000	0.00000000	0.56800000	0.00000000	0.01561905	0.00000000	0.38019048	0.00533333	0.94819048	0.00000000	0.00000000	0.03129403	0.00000000	0.47217312	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
24	"1,432,237"	"470,142"	"38,798,120"	360	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.01098528	0.37667494	0.00446650	0.04640199	0.01066998	0.56004963	0.00148883	0.93672457	0.09455639	0.00700676	0.41537605	0.00000000	0.12330213	0.10702642	0.01560400	0.00000000	0.00000000	0.00000000	0.00000000	0.00095675	0.00000000	0.00095675
25	"1,411,013"	"473,179"	"13,438,303"	125	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.92646179	0.07353821	0.00000000	0.00298991	0.50493653	0.02609309	0.02327221	0.01198872	0.39844852	0.00141044	0.90338505	0.00000000	0.00000000	0.24565185	0.00227797	0.42114350	0.00993131	0.00116979	0.00000000	0.00000000	0.00000000	0.00000000	0.00147526	0.00000000	0.00147526
31	"1,299,658"	"467,993"	"64,802,400"	602	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02257809	0.33121019	0.00266627	0.15286624	0.00859132	0.47889202	0.00000000	0.81010221	0.06897214	0.02268876	0.46002896	0.00000000	0.23187654	0.15460836	0.01961630	0.00329732	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00329732
33	"1,270,203"	"475,342"	"11,302,816"	105	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.04254049	0.14213625	0.00588730	0.11606392	0.06139613	0.41211102	0.00000000	0.55424727	0.12792547	0.00115538	0.00000000	0.00000000	0.38323175	0.33721862	0.01280407	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
37	"1,293,236"	"474,735"	"14,896,122"	138	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02567532	0.45583495	0.00193424	0.11283043	0.00580271	0.41199226	0.00000000	0.86782721	0.05463207	0.00000000	0.41066896	0.00000000	0.28621429	0.15925769	0.02114946	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
42	"1,268,288"	"475,657"	"3,774,237"	35	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00133676	0.00000000	0.00000000	0.06106870	0.01017812	0.42748092	0.00000000	0.42748092	0.00000000	0.00000000	0.00000000	0.00000000	0.63931866	0.23169612	0.00416084	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
