site	year	n.total	n.psm	psm
Des Moines	2004	30	19	0.633333
Fauntleroy	2000	12	3	0.25
Fauntleroy	2001	9	2	0.222222
Fauntleroy	2002	1	0	0
Fauntleroy	2005	4	3	0.75
Fauntleroy	2007	4	3	0.75
Fortson	2002	114	1	0.008772
Longfellow	2000	135	100	0.740741
Longfellow	2001	111	68	0.612613
Longfellow	2002	57	49	0.859649
Longfellow	2003	18	12	0.666667
Longfellow	2004	9	8	0.888889
Longfellow	2005	75	54	0.72
Longfellow	2006	4	4	1
Longfellow	2007	41	30	0.731707
Longfellow	2008	12	8	0.666667
Longfellow	2009	36	28	0.778
Pipers	2000	17	3	0.176471
Pipers	2001	37	26	0.702703
Pipers	2002	10	6	0.6
Pipers	2003	1	0	0
Pipers	2004	3	1	0.333333
Pipers	2005	4	3	0.75
Pipers	2006	9	9	1
Pipers	2007	5	1	0.2
Thornton	2000	33	29	0.878788
Thornton	2001	11	9	0.818182
Thornton	2002	5	4	0.8
Thornton	2003	2	2	1
Thornton	2004	1	1	1
Thornton	2005	8	4	0.5
Thornton	2006	4	4	1
Thornton	2007	5	4	0.8
Thornton	2008	2	2	1
