WADOE_ID	Chin_Presence	Chin_Rear	Chin_Spawn	Chum_Presence	Chum_Rear	Chum_Spawn	Coho_Presence	Coho_Rear	Coho_Spawn
6							1868.77		
13	124.89		120.63	124.89					124.89
15	10767.06		26576.89	22791.80			13035.49	9991.43	3748.23
19			4040.47	1568.44			2170.15		
25	11231.35		6093.64	10068.76			5453.44	5691.49	2771.16
26	5849.49		16682.92	13547.16			8441.47	8466.98	
27	10976.56		3796.88	853.99			2503.99	2493.51	820.79
29	82.44			38.09					
31	1474.00						1186.62		
34	7105.87		5982.33	4036.53			4245.64	4611.87	86.06
35	2914.14	87.02	11469.51	7113.50			18.54	7200.51	
37	1300.74	1418.67					1418.67		
38	5117.09	4415.33	1025.50				2030.37	2872.13	1703.11
39	2502.35		5360.50	3379.27			725.32	2461.38	1395.01
40	2664.68	374.94	5278.29	4049.38			3109.06	1914.42	
43	5543.83		5887.31	420.95			1438.15		
44	5422.11		11341.15	9180.79			5370.37	4620.68	1193.78
45	3120.68		948.55	447.52			775.47	9.38	
46	1587.87		8923.45	5512.31			2101.81	4354.61	
47			2840.94	2214.29				521.11	1693.18
49	1846.81			1262.81			9656.40		
50	2024.97		7402.12	5305.80			1754.48	3412.52	
51	2308.67		12225.80	7665.02			550.23	5745.71	3510.35
52	2439.71		105.46	980.42			2709.33	105.46	
58	2368.26		87.01	5937.17			4547.82	5385.48	3034.75
61	608.69						304.88		
62	7120.33		5549.68				6617.25		
63	10531.06		16860.94	1116.47			7434.99	7482.67	
64	2942.28		10635.68	6747.25			2710.54	5317.84	
65	762.84		12595.57	6807.77			3755.90	6980.70	
67	7020.74						5290.15		
68	347.63		16890.64	10760.58			4917.00	7393.18	5105.74
70	252.65		62.96	863.15			4874.73		433.97
71	86.58		11221.90	5897.66			6356.89	5610.95	
72	2240.53		7447.97	5380.61			5147.83	3745.88	
73	1387.93		6557.20	5186.29			2941.73	3360.39	1448.37
74	681.10	11584.61	12027.86	12487.34			3252.85	10207.20	
75	7030.44	30.86	30.86	5433.70			6234.41	2398.69	1868.79
76				5223.52			3658.09		5651.44
77				2649.58			3846.93	3576.60	10066.64
78	6032.04			6023.32			1409.93	4442.34	2368.92
80							806.59		
81							10647.96		
82	4436.16						7133.08		
83	12.34						624.06		
86	12808.54			13342.47			12.78	13342.47	
87							3930.55		
88							6423.33		
89							3457.41		
91	20.82			20.82			5.03	11198.95	
92	7.56		7.56	7.56			4871.31	7.56	
93							3484.17		
94			4213.43	4550.87			1653.00		4550.87
95	7180.29	6915.24	7857.24	14484.81			6899.97	7439.57	145.26
96	15231.28	41.91	13762.75	15273.18			1773.29	13804.66	
97		3273.81		3273.81			3374.56	3273.81	
98	1409.84	597.15	2141.40	4167.33			1649.50	1739.16	1172.16
99							8120.61		
100			6941.52	6643.39			2078.00	6615.56	
101			2872.84	2872.84			2054.05	2872.84	
102		4526.61	8658.59	13185.20			791.12	12971.17	
103	7320.78	2.87	7320.78	7323.65			0.61	7323.65	
104							4789.46		
105		110.49	2735.30	6171.30			130.53	6040.77	
106	2325.20	6816.26	1564.02	10703.56			3037.26	8384.84	
107							3413.99		
108		2374.67		2374.67			492.18	2374.67	
109	22.29		22.29	22.29			7478.93	22.29	
110	4944.21	989.89	4944.21	5934.10			3627.19	5934.10	
111							1749.03		
112	3844.76		3785.16	3785.16			4246.43	3785.16	
113	3264.30		1812.86	1818.52			6746.99	1818.52	
114							1325.17		
115				3440.27			4413.77	1083.60	
116	31.26			3762.06				3762.06	
