data_label,plot_label
data,data
site,site
coho_presence_km,Coho presence (km)
coho_rearing_km,Coho rearing (km)
coho_spawning_km,Coho spawning (km)
coho_total_km,Coho habitat (km)
fallchin_presence_km,Fall Chinook presence (km)
fallchin_rearing_km,Fall Chinook rearing (km)
fallchin_spawning_km,Fall Chinook spawning (km)
fallchin_total_km,Fall Chinook habitat (km)
sprchin_presence_km,Spring Chinook presence (km)
sprchin_rearing_km,Spring Chinook rearing (km)
sprchin_spawning_km,Spring Chinook spawning (km)
sprchin_total_km,Spring Chinook habitat (km)
sumchin_presence_km,Summer Chinook presence (km)
sumchin_rearing_km,Summer Chinook rearing (km)
sumchin_spawning_km,Summer Chinook spawning (km)
sumchin_total_km,Summer Chinook habitat (km)
fallchum_presence_km,Fall chum presence (km)
fallchum_rearing_km,Fall chum rearing (km)
fallchum_spawning_km,Fall chum spawning (km)
fallchum_total_km,Fall chum habitat (km)
sumchum_presence_km,Summer chum presence (km)
sumchum_rearing_km,Summer chum rearing (km)
sumchum_spawning_km,Summer chum spawning (km)
sumchum_total_km,Summer chum habitat (km)
winchum_presence_km,Winter chum presence (km)
winchum_spawning_km,Winter chum spawning (km)
winchum_total_km,Winter chum habitat (km)
N_spp,Salmon species richness
