ID,coho,area,ppt.su.2000,ppt.su.2001,ppt.su.2002,ppt.su.2003,ppt.su.2004,ppt.su.2005,ppt.su.2006,ppt.su.2007,ppt.su.2008,ppt.su.2009,ppt.su.2010,ppt.su.2011,ppt.fa.2000,ppt.fa.2001,ppt.fa.2002,ppt.fa.2003,ppt.fa.2004,ppt.fa.2005,ppt.fa.2006,ppt.fa.2007,ppt.fa.2008,ppt.fa.2009,ppt.fa.2010,ppt.fa.2011,ccap.decid,ccap.open,ccap.evgrn,ccap.hdev,ccap.ldev,ccap.mdev,ccap.mxforest,ccap.wetland,ccap.ag,ccap.other,roads.1,roads.2,roads.3,roads.4,roads.5,nlcd.imperv,restoration,pop.census,pop.lscan,traffic
1,0,41581696,136,146,99,28,196,92,47,107,241,60,23,92,272,617,254,839,495,487,717,435,502,717,419,580,0.004,0.000,0.786,0.000,0.000,0.000,0.001,0.000,0.000,0.210,0,0,0,0,0,0.0000,0.0000,0.00,0.00,0.0
2,0,23276089,146,154,105,30,200,94,46,112,258,62,28,96,288,642,277,912,518,504,742,484,548,752,486,672,0.004,0.000,0.501,0.000,0.000,0.000,0.001,0.003,0.000,0.491,0,0,0,0,0,0.0000,0.0000,0.00,0.04,0.0
3,0,29876164,96,100,46,20,129,63,38,90,176,73,41,76,358,742,262,1061,449,450,823,441,504,819,507,733,0.001,0.000,0.401,0.000,0.000,0.000,0.002,0.005,0.000,0.592,0,0,0,0,0,0.0000,0.0000,0.02,0.15,0.0
4,0,25493212,151,157,106,37,199,94,54,131,241,69,31,120,258,591,241,835,456,473,854,478,634,797,620,824,0.007,0.000,0.587,0.000,0.000,0.000,0.001,0.000,0.000,0.405,0,0,0,0,0,0.0000,0.0000,0.00,0.00,0.0
5,0,19078943,83,85,36,17,121,59,39,90,176,70,40,86,311,642,217,941,418,427,869,442,521,882,572,833,0.001,0.000,0.501,0.000,0.000,0.000,0.001,0.000,0.000,0.498,0,0,0,0,0,0.0000,0.0000,0.03,0.00,0.0
6,1,27102142,99,101,44,20,132,70,42,90,176,71,41,91,301,621,209,904,401,409,872,434,485,877,587,849,0.000,0.000,0.550,0.000,0.000,0.000,0.001,0.001,0.000,0.448,0,0,0,0,0,0.0000,0.0000,0.02,0.00,0.0
7,0,26110970,148,147,87,29,186,94,60,128,222,75,42,125,328,689,257,1003,503,557,863,469,616,889,701,969,0.001,0.000,0.684,0.000,0.000,0.000,0.001,0.001,0.000,0.314,0,0,0,0,0,0.0000,0.0000,0.00,0.00,0.0
8,0,14085646,167,164,106,33,201,100,64,139,229,76,36,135,268,609,264,890,452,472,913,475,658,888,727,968,0.005,0.000,0.582,0.000,0.000,0.000,0.000,0.000,0.000,0.412,0,0,0,0,0,0.0000,0.0000,0.00,0.00,0.0
9,0,19749710,136,144,97,29,195,86,50,123,240,62,30,112,269,617,248,841,494,506,814,469,626,735,568,748,0.005,0.000,0.627,0.001,0.006,0.001,0.002,0.000,0.000,0.359,0,0,0,0,441,0.0043,0.0000,0.00,0.00,0.0
10,1,23662655,122,134,85,23,182,93,55,104,224,60,27,88,252,591,223,765,466,465,740,404,480,718,390,537,0.009,0.000,0.853,0.000,0.006,0.000,0.002,0.005,0.000,0.125,0,0,0,258,162,0.0030,0.0000,0.02,0.00,243.3
11,0,23111120,130,132,59,24,159,86,48,100,197,72,48,106,293,617,214,882,408,412,899,440,518,896,664,949,0.001,0.000,0.528,0.000,0.000,0.000,0.001,0.000,0.000,0.470,0,0,0,0,0,0.0000,0.0000,0.02,0.00,0.0
12,0,30956461,164,164,110,36,206,97,66,140,233,74,35,134,258,607,247,842,457,485,925,476,674,844,710,929,0.013,0.000,0.486,0.000,0.002,0.000,0.002,0.000,0.000,0.497,0,0,0,0,135,0.0011,0.0000,0.00,0.00,0.0
13,1,16378269,146,157,102,25,214,133,81,127,244,65,25,94,375,902,468,1158,797,653,802,432,491,838,421,551,0.006,0.000,0.764,0.000,0.002,0.000,0.001,0.000,0.000,0.227,0,0,0,0,240,0.0015,0.0000,0.03,0.00,0.0
14,0,15487100,133,144,96,26,193,101,64,117,234,62,32,102,262,605,218,790,493,496,830,449,565,779,514,690,0.004,0.000,0.841,0.000,0.003,0.000,0.001,0.020,0.000,0.132,0,0,0,0,374,0.0021,0.0000,0.03,0.00,0.0
15,1,19676269,103,129,59,28,174,81,26,84,243,62,19,55,241,540,249,771,450,437,566,349,391,601,268,374,0.053,0.000,0.561,0.000,0.006,0.001,0.131,0.077,0.025,0.147,0,0,0,31,728,0.0059,0.0000,13.16,2.98,125.6
16,0,14300033,124,135,88,25,186,83,57,110,223,65,35,114,249,586,209,768,474,526,881,457,589,732,599,788,0.004,0.000,0.588,0.011,0.022,0.014,0.000,0.000,0.000,0.361,0,0,0,735,376,0.0272,0.0000,0.03,0.26,371.5
17,0,13122249,125,138,88,23,189,105,65,108,218,55,26,83,255,596,213,776,483,457,782,404,461,758,391,534,0.002,0.000,0.816,0.000,0.010,0.002,0.002,0.002,0.000,0.167,0,0,0,0,898,0.0063,0.0000,0.04,0.00,0.0
18,0,38904450,166,165,106,32,218,97,71,134,228,75,39,133,359,808,358,1108,564,627,961,485,684,876,735,932,0.002,0.000,0.449,0.000,0.000,0.000,0.001,0.001,0.000,0.546,0,0,0,0,71,0.0003,0.0000,0.00,0.00,0.0
19,1,29765092,119,137,71,26,188,101,46,100,268,67,20,73,294,665,285,905,539,527,848,528,575,934,475,602,0.011,0.000,0.798,0.000,0.005,0.000,0.034,0.001,0.005,0.146,0,0,0,0,63,0.0040,0.0000,2.40,0.90,0.0
20,0,37461704,157,165,106,28,225,138,92,144,271,68,36,111,383,900,413,1094,775,637,924,530,607,992,575,706,0.002,0.000,0.499,0.000,0.003,0.000,0.000,0.001,0.000,0.494,0,0,0,0,183,0.0016,0.0000,0.01,0.00,0.0
