ID,site,watershed,area,ppt_su_2000,ppt_su_2001,ppt_su_2002,ppt_su_2003,ppt_su_2004,ppt_su_2005,ppt_su_2006,ppt_su_2007,ppt_su_2008,ppt_su_2009,ppt_su_2010,ppt_su_2011,ppt_fa_2000,ppt_fa_2001,ppt_fa_2002,ppt_fa_2003,ppt_fa_2004,ppt_fa_2005,ppt_fa_2006,ppt_fa_2007,ppt_fa_2008,ppt_fa_2009,ppt_fa_2010,ppt_fa_2011,ccap_decid,ccap_open,ccap_evgrn,ccap_hdev,ccap_ldev,ccap_mdev,ccap_mxforest,ccap_wetland,ccap_ag,ccap_other,roads1,roads2,roads3,roads4,roads5,nlcd_imperv,restoration,pop_census,pop_lscan,traffic
1,Barker Creek,Barker Creek,10152000,30,99,22,8,94,39,5,82,65,23,20,25,211,446,161,431,204,297,500,221,240,445,264,288,0.058008,0.151418,0.215485,0.009486,0.233865,0.082506,0.140928,0.047695,0.008954,0.051655,0,0,0,1174,5015,0.1613,1.8716,677,447,14012.09
3,Big Scandia Creek,Big Scandia Creek,7900480,30,92,25,8,88,42,7,74,60,21,16,26,187,410,137,391,193,265,475,201,226,417,232,270,0.09123,0.094837,0.397267,0.000683,0.129841,0.021298,0.17221,0.019932,0.00205,0.070653,0,563,0,766,2887,0.0715,0.2531,132,114,16491.42
4,Blackjack Creek,Blackjack Creek,33779700,30,104,21,8,94,42,4,80,78,28,24,27,213,447,144,486,209,304,640,276,301,486,335,355,0.060986,0.08167,0.361549,0.012762,0.145587,0.039761,0.102745,0.079921,0.019876,0.095143,0,251,0,941,2690,0.1018,0,281,354,13767.66
5,Bosworth Creek,Bosworth Creek,5265307,61,113,48,12,166,61,21,72,109,43,31,57,199,453,143,492,276,296,446,279,364,500,294,368,0.085656,0.0318,0.38337,0,0.062233,0.001026,0.270816,0.010258,0.004787,0.150054,0,0,0,0,1473,0.028,0.1899,70,55,894.67
6,Canyon Creek,Canyon Creek,10724400,39,95,37,8,156,60,17,68,110,35,25,38,247,463,142,436,279,330,512,268,316,465,282,324,0.077906,0.015022,0.111755,0.002266,0.096033,0.030044,0.53768,0.015441,0.059388,0.054465,0,0,0,271,2395,0.0505,0.2797,210,225,8205.22
7,Catherine Creek,Catherine Creek,37205100,46,92,42,10,132,49,16,76,93,38,28,53,160,348,106,352,191,230,378,218,311,421,219,285,0.183394,0.099978,0.038358,0.006443,0.193844,0.07482,0.110824,0.088964,0.017973,0.185402,0,0,0,408,3996,0.1298,0.1075,474,435,8893.9
8,Cherry Creek,Cherry Creek,71023847,66,132,48,13,183,71,24,79,122,48,40,64,241,528,180,530,356,364,472,281,358,472,278,322,0.06908,0.00536,0.314043,0.000203,0.038377,0.002978,0.333815,0.043957,0.028882,0.163305,0,0,24,118,1220,0.0163,0.0845,49,33,846.41
9,Chico Creek,Chico Creek,42060600,34,114,21,9,103,43,5,92,82,27,24,29,228,490,179,487,224,325,675,305,331,539,375,385,0.033466,0.022125,0.557003,0.003987,0.058837,0.012596,0.094628,0.029351,0.000642,0.187365,0,19,0,85,1257,0.0335,0.3804,95,110,2930.65
10,Church Creek,Church Creek,26096320,63,100,48,12,139,61,21,61,96,34,25,53,144,320,110,360,204,247,285,180,255,392,200,273,0.170116,0.051573,0.119302,0.001276,0.096707,0.02731,0.141656,0.081516,0.212019,0.098524,346,0,0,40,2330,0.0573,1.2645,98,82,11621.83
11,Clear Creek WF,Clear Creek WF,10171800,32,96,25,8,92,43,7,78,65,23,18,27,194,425,141,394,196,276,518,222,248,432,260,296,0.020203,0.11464,0.401876,0.031676,0.198844,0.113756,0.056952,0.021766,0.00584,0.034448,0,253,0,402,5395,0.1912,0.1966,481,349,11259.87
12,Cool Creek,Curley Creek,2048370,30,106,20,8,95,40,4,79,76,28,24,27,210,445,140,468,207,301,638,272,293,494,334,351,0.136463,0.157086,0.171566,0.00351,0.178148,0.048706,0.183414,0.083809,0.004827,0.03247,0,0,0,227,1187,0.1139,0,503,489,7767.72
14,Curley Creek,Curley Creek,38136600,28,101,20,9,93,39,5,78,76,29,24,27,205,425,133,451,203,294,573,263,288,466,314,332,0.147339,0.069941,0.273769,0.000802,0.135405,0.018644,0.188653,0.054798,0.021003,0.089646,0,0,0,801,2643,0.0708,0.3933,274,237,3757.16
15,Curley Creek Trib,Curley Creek,1944000,28,105,20,8,93,37,6,79,75,27,24,26,204,423,131,444,199,290,540,249,275,458,303,319,0.280093,0.118056,0.171759,0.001389,0.106481,0.013426,0.208333,0.020833,0.001389,0.078241,0,0,0,255,1321,0.0644,0,214,225,2023.43
16,Des Moines Creek,Des Moines Creek,14528106,17,77,18,9,94,38,4,63,81,29,20,23,167,332,104,379,162,236,424,185,232,363,248,228,0.075435,0.097675,0.011089,0.253149,0.255524,0.24268,0.044088,0.006071,0.000805,0.013484,7,0,0,2178,5476,0.5026,0.2065,1098,2355,31713.91
17,Dickerson Creek,Chico Creek,5643900,34,114,20,9,103,44,5,91,85,26,24,29,226,479,176,482,218,320,690,315,343,542,390,394,0.027694,0.002232,0.576941,0,0.007016,0.000159,0.066497,0.02982,0.000159,0.289481,0,0,0,0,103,0.0045,0,22,28,305.86
18,Dogfish Creek,Dogfish Creek,18742698,26,80,27,8,83,39,8,69,61,22,18,28,165,356,105,322,180,229,439,188,217,391,220,257,0.109328,0.046711,0.236789,0.013536,0.113396,0.062233,0.19514,0.05834,0.030612,0.133916,0,111,124,213,2916,0.0956,0.3735,245,318,9839.84
19,Dogfish Creek NF,Dogfish Creek,5468400,26,83,26,8,84,39,7,71,61,22,19,27,169,355,106,330,181,235,450,191,219,393,224,260,0.065833,0.046412,0.314571,0.000987,0.100066,0.029625,0.234529,0.031929,0.082949,0.093099,0,0,0,269,596,0.0614,0,183,131,9623.41
20,Dry Creek,Dry Creek,7669268,39,91,36,10,145,52,15,74,103,38,26,44,224,450,142,441,280,331,460,272,286,430,242,283,0.159575,0.056148,0.041066,0.000117,0.129254,0.007072,0.41906,0.0531,0.000821,0.133787,0,0,165,213,2731,0.0572,0.2608,162,98,2484.29
21,Dubuque Creek,Dubuque Creek,16729200,56,106,46,12,154,56,19,76,106,42,33,57,196,439,140,454,263,285,437,259,356,467,264,321,0.109748,0.021017,0.330608,0.000161,0.082473,0.003174,0.305538,0.029589,0.001668,0.116025,0,0,0,0,2067,0.0351,0.1196,80,55,1472.07
22,E.F. Griffin,E.F. Griffin,9888300,61,138,53,13,205,83,28,85,139,49,46,68,298,592,211,595,422,432,589,337,396,535,343,410,0.013865,0,0.517915,0,0.006553,0,0.122266,0.046995,0,0.292406,0,0,0,0,0,0.0048,0,0,0,0
23,Eager Beaver,Eager Beaver,3227646,66,129,48,12,168,67,23,76,110,46,39,59,219,504,165,496,334,318,430,263,364,471,264,309,0.104277,0.090858,0.074364,0.001398,0.129438,0.004753,0.335197,0.022365,0.106514,0.130836,0,0,0,0,2684,0.0618,0,80,43,969.32
24,Fauntleroy Creek,Fauntleroy Creek,604681,15,79,17,7,85,34,4,70,82,26,22,27,164,325,99,366,148,219,425,190,231,377,247,242,0.071429,0.014881,0.092262,0.004464,0.407738,0.14881,0.165179,0.083333,0,0.011905,0,0,0,304,8050,0.2522,4.9613,1663,1942,5302.61
25,Fish Creek,Fish Creek,20605500,53,95,44,10,123,52,18,65,88,31,21,52,141,328,111,356,179,247,292,167,258,385,195,276,0.222115,0.040882,0.093485,0.000437,0.090049,0.007862,0.159307,0.071515,0.192225,0.122123,6,0,0,174,1711,0.0433,0.0485,114,70,2373.45
26,Fortson Creek,Fortson Creek,2359124,60,107,49,19,168,65,32,81,159,65,29,76,397,867,323,1069,517,571,844,464,539,841,569,652,0.028201,0.009909,0.382241,0,0.037729,0.001143,0.186357,0.00686,0.120427,0.227134,0,0,0,558,335,0.0194,1.2717,25,20,1677.34
27,Gorst Creek,Gorst Creek,25834500,35,114,21,9,97,48,4,85,84,25,22,27,227,478,176,521,218,316,714,306,337,486,382,385,0.05812,0.060094,0.527597,0.004552,0.052697,0.021309,0.106253,0.010521,0.00101,0.157847,0,24,239,145,1185,0.0399,0.271,66,62,5306.56
28,Gorst Creek Trib,Gorst Creek,1510200,36,113,22,10,96,48,4,83,80,25,22,25,223,469,171,516,214,311,696,292,323,462,362,370,0.091776,0.0147,0.466627,0.010727,0.112435,0.087803,0.1617,0.002384,0.00298,0.048868,0,0,278,219,2053,0.062,0,128,108,7199.22
29,Grizzly Creek,Grizzly Creek,3327416,53,121,47,11,189,76,25,78,131,45,37,57,287,555,188,544,375,399,578,318,374,526,328,388,0.010188,0,0.516996,0,0.003787,0,0.145163,0.019746,0,0.30412,0,0,0,0,0,0.0053,0,2,0,0
30,Happy Hollow Creek,Happy Hollow Creek,5749225,51,87,42,10,121,49,18,59,84,30,21,47,138,311,104,341,178,239,268,152,229,355,176,250,0.189812,0.016458,0.141484,0.000313,0.055329,0.003292,0.16813,0.040596,0.241223,0.143365,0,0,0,0,1579,0.0266,0.1739,55,31,515.5
31,Harris Creek,Harris Creek,6366288,59,127,47,12,188,72,23,80,123,45,39,57,254,530,183,534,366,374,467,277,318,451,267,314,0.059142,0,0.356218,0,0.027688,0.001271,0.366436,0.083345,0,0.1059,0,0,0,16,1378,0.012,0.3142,18,16,67.31
32,Harris Tr. B,Harris Tr. B,884947,56,121,46,11,183,69,22,79,121,45,37,55,249,515,176,517,350,365,467,276,311,448,263,309,0.039755,0,0.275229,0,0.030581,0.001019,0.520557,0.039755,0,0.093102,0,0,0,339,293,0.0105,0,57,41,1355.08
