ID,site,source,year,n,n_psm
1,Barker Creek,Suquamish,2004,12,5
1,Barker Creek,Suquamish,2008,1,0
3,Big Scandia Creek,Suquamish,2004,1,1
3,Big Scandia Creek,Suquamish,2006,5,1
3,Big Scandia Creek,Suquamish,2008,2,1
3,Big Scandia Creek,Suquamish,2009,3,1
4,Blackjack Creek,Suquamish,2004,125,55
4,Blackjack Creek,Suquamish,2005,50,5
4,Blackjack Creek,Suquamish,2006,1,0
4,Blackjack Creek,Suquamish,2007,1,1
4,Blackjack Creek,Suquamish,2008,2,0
4,Blackjack Creek,Suquamish,2009,1,0
4,Blackjack Creek,Suquamish,2010,3,0
5,Bosworth Creek,WFC_2003,2003,7,0
6,Canyon Creek,WFC_2003,2003,25,2
7,Catherine Creek,WFC_2003,2003,36,1
8,Cherry Creek,WFC_2008,2005,10,4
9,Chico Creek,Suquamish,2004,24,23
9,Chico Creek,Suquamish,2005,15,4
9,Chico Creek,Suquamish,2006,2,2
9,Chico Creek,Suquamish,2007,2,2
9,Chico Creek,Suquamish,2008,3,2
9,Chico Creek,Suquamish,2010,5,3
10,Church Creek,Stillaguamish,2011,5,1
11,Clear Creek WF,Suquamish,2004,4,1
12,Cool Creek,Suquamish,2005,94,0
12,Cool Creek,Suquamish,2006,14,1
12,Cool Creek,Suquamish,2008,35,0
12,Cool Creek,Suquamish,2009,11,0
12,Cool Creek,Suquamish,2010,2,0
14,Curley Creek,Suquamish,2004,104,27
14,Curley Creek,Suquamish,2005,30,8
14,Curley Creek,Suquamish,2006,2,0
14,Curley Creek,Suquamish,2007,9,6
14,Curley Creek,Suquamish,2008,2,0
15,Curley Creek Trib,Suquamish,2004,1,1
15,Curley Creek Trib,Suquamish,2005,9,6
15,Curley Creek Trib,Suquamish,2006,6,0
15,Curley Creek Trib,Suquamish,2007,1,1
15,Curley Creek Trib,Suquamish,2008,3,0
15,Curley Creek Trib,Suquamish,2009,12,0
16,Des Moines Creek,NWFSC,2004,30,19
17,Dickerson Creek,Suquamish,2005,1,0
17,Dickerson Creek,Suquamish,2006,2,0
17,Dickerson Creek,Suquamish,2007,2,1
17,Dickerson Creek,Suquamish,2008,36,2
17,Dickerson Creek,Suquamish,2009,12,1
18,Dogfish Creek,Suquamish,2004,30,4
18,Dogfish Creek,Suquamish,2005,10,3
18,Dogfish Creek,Suquamish,2006,1,0
18,Dogfish Creek,Suquamish,2007,2,1
18,Dogfish Creek,Suquamish,2008,1,0
18,Dogfish Creek,Suquamish,2009,3,1
19,Dogfish Creek NF,Suquamish,2004,19,0
19,Dogfish Creek NF,Suquamish,2005,6,1
19,Dogfish Creek NF,Suquamish,2006,9,0
19,Dogfish Creek NF,Suquamish,2007,13,1
19,Dogfish Creek NF,Suquamish,2008,3,0
19,Dogfish Creek NF,Suquamish,2009,1,0
20,Dry Creek,WFC_2003,2003,70,2
21,Dubuque Creek,WFC_2003,2003,7,0
22,E.F. Griffin,WFC_2003,2003,28,4
23,Eager Beaver,WFC_2003,2003,132,5
24,Fauntleroy Creek,NWFSC,2000,12,3
24,Fauntleroy Creek,NWFSC,2001,9,2
24,Fauntleroy Creek,NWFSC,2002,1,0
24,Fauntleroy Creek,NWFSC,2005,4,3
24,Fauntleroy Creek,NWFSC,2007,4,3
25,Fish Creek,Stillaguamish,2011,153,7
26,Fortson Creek,NWFSC,2002,114,1
27,Gorst Creek,Suquamish,2004,16,3
27,Gorst Creek,Suquamish,2005,8,0
27,Gorst Creek,Suquamish,2006,1,0
27,Gorst Creek,Suquamish,2007,1,1
27,Gorst Creek,Suquamish,2008,7,4
27,Gorst Creek,Suquamish,2009,5,3
27,Gorst Creek,Suquamish,2010,4,2
28,Gorst Creek Trib,Suquamish,2004,5,0
28,Gorst Creek Trib,Suquamish,2009,2,0
29,Grizzly Creek,WFC_2003,2003,161,7
30,Happy Hollow Creek,Stillaguamish,2011,7,0
31,Harris Creek,WFC_2003,2003,5,0
32,Harris Tr. B,WFC_2003,2003,4,0
33,Harris Tr. C,WFC_2003,2003,10,1
34,Harris Tr. D,WFC_2003,2003,5,2
35,Index Creek (E.F. Stossel Cr),WFC_2003,2003,125,4
36,Jarstad Creek,Suquamish,2006,1,0
36,Jarstad Creek,Suquamish,2007,10,0
37,Johnson Creek,Suquamish,2004,1,1
37,Johnson Creek,Suquamish,2005,1,0
37,Johnson Creek,Suquamish,2006,5,3
37,Johnson Creek,Suquamish,2007,3,1
37,Johnson Creek,Suquamish,2009,1,0
39,Lake Creek,WFC_2003,2003,44,2
40,Lewis Creek,WFC_2003,2003,7,1
42,Longfellow Creek,NWFSC,2000,135,100
42,Longfellow Creek,NWFSC,2001,111,68
42,Longfellow Creek,NWFSC,2002,57,49
42,Longfellow Creek,NWFSC,2003,18,12
42,Longfellow Creek,NWFSC,2004,9,8
42,Longfellow Creek,NWFSC,2005,75,57
42,Longfellow Creek,NWFSC,2006,4,4
42,Longfellow Creek,NWFSC,2007,41,30
42,Longfellow Creek,NWFSC,2008,12,8
42,Longfellow Creek,NWFSC,2009,36,28
43,Lost Creek,Suquamish,2004,1,0
43,Lost Creek,Suquamish,2005,1,0
43,Lost Creek,Suquamish,2006,15,0
43,Lost Creek,Suquamish,2007,3,2
43,Lost Creek,Suquamish,2008,5,0
43,Lost Creek,Suquamish,2009,2,0
44,M.F. Quilceda,WFC_2003,2003,109,0
46,Parish Creek,Suquamish,2007,9,0
46,Parish Creek,Suquamish,2008,1,0
46,Parish Creek,Suquamish,2009,2,0
46,Parish Creek,Suquamish,2010,1,0
47,People's Creek,WFC_2003,2003,114,1
48,Pipers Creek,NWFSC,2000,17,3
48,Pipers Creek,NWFSC,2001,37,26
48,Pipers Creek,NWFSC,2002,10,6
48,Pipers Creek,NWFSC,2003,1,0
48,Pipers Creek,NWFSC,2004,3,1
48,Pipers Creek,NWFSC,2005,4,3
48,Pipers Creek,NWFSC,2006,9,9
48,Pipers Creek,NWFSC,2007,5,1
49,Pond Creek,WFC_2003,2003,58,0
50,Ross Creek,WFC_2003,2003,5,0
51,Son of Deer,WFC_2003,2003,5,0
52,Thornton Creek,NWFSC,2000,33,29
52,Thornton Creek,NWFSC,2001,11,9
52,Thornton Creek,NWFSC,2002,5,4
52,Thornton Creek,NWFSC,2003,2,2
52,Thornton Creek,NWFSC,2004,1,1
